MCSID	FACTRY00	FIMDSCON	FIMDINCN	FIMDEMPN	FIMDHDDN	FIMDESTN	FIMDCRIN	FIMDLEDN	FINRURUR
M23394M	4	3	3	2	4	2	5	4	2
M23411V	4	8	7	9	9	8	2	7	2
M23425B	4	3	5	3	2	2	6	6	2
M23443D	4	3	5	3	2	2	6	6	2
M23471H	4	5	6	7	1	5	3	4	2
M23480J	4	5	6	5	6	6	8	6	1
M23492N	4	9	8	9	10	6	6	5	2
M23546K	4	6	7	6	9	4	10	3	1
M23611B	4	10	10	9	10	9	9	10	2
M23621D	4	2	2	2	1	5	1	3	2
M23638N	4	2	2	2	4	3	6	2	1
M23671P	4	4	4	3	4	5	4	3	2
M23714H	4	9	9	9	8	9	6	10	1
M23751N	4	1	1	1	2	3	6	2	2
M23827R	4	8	9	10	8	8	3	6	1
M23843R	4	2	3	3	4	2	8	2	1
M23869B	4	9	9	7	8	7	9	7	2
M23895D	4	10	9	9	10	9	7	10	2
M23907Q	4	4	5	5	2	5	9	5	1
M23922P	4	2	1	1	5	2	4	2	1
M23934T	4	7	7	6	4	7	7	3	2
M23993E	4	9	9	9	7	9	5	10	1
M24001K	4	2	3	3	4	2	8	2	1
M24046Y	4	9	9	9	6	10	7	7	2
M24057B	4	9	10	9	10	7	8	10	2
M24109W	4	1	2	1	1	1	1	1	2
M24138B	4	9	9	10	5	9	6	10	2
M24149E	4	4	5	5	6	4	9	4	1
M24223X	4	4	4	5	7	4	7	5	1
M24283K	4	3	3	3	5	4	1	4	2
M24306Z	4	4	3	3	2	5	4	7	2
M24311W	4	6	6	7	4	7	8	6	1
M24314Z	4	3	5	3	5	2	7	4	1
M24315A	4	8	8	9	10	7	9	6	1
M24323A	4	6	6	7	4	7	8	6	1
M24328F	4	3	3	3	3	2	7	6	2
M24342D	4	2	2	2	2	1	1	3	2
M24366M	4	2	2	3	4	1	2	2	2
M24378R	4	1	1	1	1	2	2	1	2
M24405B	4	3	3	3	5	4	1	4	2
M24429K	4	6	6	6	5	7	10	6	1
M24435H	4	10	10	10	9	9	9	9	2
M24436J	4	9	9	9	10	7	6	10	2
M24442G	4	6	6	7	4	7	8	6	1
M24443H	4	1	1	1	1	1	2	2	2
M24450G	4	6	7	6	2	7	5	8	2
M24456N	4	3	5	3	5	2	7	4	1
M24470L	4	6	5	7	9	5	10	3	1
M24497X	4	4	4	6	9	6	10	3	1
M24516H	4	4	4	4	2	8	1	5	2
M24532H	4	3	3	3	4	3	9	5	1
M24539Q	4	1	2	1	1	3	2	2	2
M24543L	4	4	5	6	5	3	5	5	1
M24553N	4	6	6	7	4	7	8	6	1
M24606J	4	9	10	9	10	7	8	10	2
M24618N	4	8	9	9	4	10	1	5	2
M24626N	4	8	8	8	9	7	10	9	1
M24637R	4	10	10	10	9	8	9	10	2
M24666W	4	7	9	10	2	10	1	4	2
M24684Y	4	8	8	8	7	6	5	9	2
M24704K	4	5	5	4	7	3	5	6	2
M24713L	4	3	3	4	10	2	9	3	1
M24721L	4	10	10	10	9	10	10	10	2
M24763W	4	8	7	8	5	8	5	9	2
M24768B	4	2	2	2	3	2	4	1	1
M24809T	4	2	2	3	4	1	2	2	2
M24814Q	4	2	3	2	2	4	2	5	2
M24823R	4	1	1	1	1	2	2	1	2
M24850U	4	6	5	5	5	7	9	7	1
M24855Z	4	10	10	9	8	10	8	10	1
M24865B	4	4	3	3	4	6	10	6	1
M24900M	4	2	2	2	2	2	4	2	2
M24906T	4	9	10	9	10	7	8	10	2
M24910P	4	7	5	7	8	5	8	8	2
M24912R	4	5	5	5	7	4	10	4	1
M24942X	4	3	5	3	5	2	7	4	1
M24957E	4	2	2	2	3	1	3	3	2
M24975G	4	7	7	8	6	4	7	7	2
M24984H	4	5	5	4	2	6	3	4	2
M24990F	4	1	2	2	1	1	1	2	2
M25025X	4	2	2	2	1	5	1	3	2
M25062C	4	10	10	9	8	10	8	10	1
M25117A	4	2	2	3	4	1	2	2	2
M25119C	4	2	2	2	3	2	4	1	1
M25124Z	4	9	10	9	9	6	7	9	1
M25141A	4	4	3	3	4	6	10	6	1
M25163G	4	6	6	6	5	7	10	6	1
M25166K	4	6	7	5	8	7	9	7	1
M25200U	4	5	5	7	7	5	10	4	1
M25201V	4	5	5	7	8	6	9	4	1
M25202W	4	3	3	4	10	2	9	3	1
M25203X	4	6	6	7	5	3	7	4	1
M25247K	4	5	5	6	8	6	10	3	1
M25249M	4	5	3	4	5	6	1	8	2
M25282N	4	4	5	5	6	4	9	4	1
M25283P	4	5	4	5	4	6	4	4	2
M25317G	4	3	2	3	3	3	3	4	1
M25319J	4	2	2	1	2	2	4	6	2
M25364P	4	5	4	5	6	4	3	2	2
M25384T	4	7	6	6	4	7	10	5	2
M25390R	4	3	5	3	2	2	6	6	2
M25404E	4	2	2	2	4	3	6	2	1
M25429P	4	10	9	9	10	10	5	10	2
M25439R	4	10	10	10	10	9	7	10	1
M25441K	4	2	2	1	1	3	4	2	2
M25444N	4	9	10	10	8	8	9	7	2
M25463R	4	6	5	6	6	8	1	8	2
M25464S	4	8	8	7	8	6	8	9	2
M25483V	4	10	10	9	10	9	9	10	2
M25496A	4	9	8	8	6	9	7	9	1
M25509N	4	9	8	9	8	9	5	4	2
M25515L	4	7	9	10	8	6	10	4	1
M25552R	4	7	5	7	8	5	8	8	2
M25555U	4	7	9	9	8	8	4	8	1
M25574X	4	4	3	2	3	10	2	8	2
M25584Z	4	9	8	8	6	10	8	7	2
M25585A	4	3	4	4	2	4	5	2	2
M25612L	4	3	5	3	5	2	7	4	1
M25627T	4	2	2	3	3	1	1	2	2
M25632Q	4	7	8	8	7	7	9	5	1
M25697H	4	9	9	9	6	10	7	7	2
M25761Y	4	5	4	6	7	5	5	5	1
M25851Z	4	5	6	4	5	3	8	6	2
M25871D	4	8	8	6	5	10	7	9	2
M25878L	4	1	1	1	1	1	1	1	2
M25884J	4	5	6	5	4	9	3	3	2
M25911U	4	4	3	4	9	4	10	6	1
M25963G	4	10	10	9	8	10	8	10	1
M26004W	4	7	7	7	7	5	2	8	2
M26008A	4	1	1	2	5	2	2	2	2
M26057K	4	9	8	8	6	10	8	7	2
M26063H	4	2	2	1	2	2	4	6	2
M26077P	4	4	4	5	3	2	7	3	2
M26098U	4	4	5	6	5	3	5	5	1
M26112Z	4	2	2	2	1	1	5	3	2
M26132D	4	1	1	1	1	1	2	1	2
M26149N	4	6	8	8	8	7	8	8	1
M26157N	4	1	1	1	2	2	2	5	2
M26201Z	4	1	2	1	1	3	2	2	2
M26220C	4	2	1	3	4	2	3	3	2
M26225H	4	8	8	8	10	8	6	7	1
M26255P	4	6	6	7	4	7	8	6	1
M26269V	4	9	9	7	8	7	9	7	2
M26355S	4	9	9	9	6	10	7	7	2
M26419R	4	1	1	1	1	1	3	1	2
M26420J	4	2	2	2	1	5	1	3	2
M26422L	4	1	1	2	5	2	2	2	2
M26450Q	4	9	10	9	7	9	6	8	1
M26486C	4	5	6	6	6	8	4	5	1
M26497F	4	1	1	1	1	1	6	1	2
M26517S	4	6	7	5	8	7	9	7	1
M26574B	4	10	10	10	10	10	8	10	2
M26588H	4	2	3	2	1	2	8	4	2
M26593E	4	3	4	3	2	7	1	3	2
M26595G	4	6	5	6	6	8	1	8	2
M26597J	4	6	7	6	9	4	10	3	1
M26625V	4	2	2	2	2	2	2	2	2
M26626W	4	6	5	6	9	5	9	5	1
M26633V	4	4	3	3	4	6	10	6	1
M26640U	4	2	2	2	4	3	6	2	1
M26673D	4	9	8	9	10	6	6	5	2
M26678J	4	3	3	3	3	1	4	3	2
M26712T	4	3	2	4	6	3	6	6	2
M26716X	4	9	8	8	10	7	8	10	2
M26755E	4	7	6	5	5	10	5	6	2
M26765G	4	6	4	3	6	7	6	8	2
M26773G	4	4	2	3	8	4	8	3	1
M26798R	4	8	9	10	8	8	3	6	1
M26802U	4	8	8	8	9	7	10	9	1
M26835D	4	10	9	9	10	10	5	10	2
M26908D	4	2	2	2	2	3	1	2	2
M26941E	4	6	7	5	8	7	9	7	1
M26943G	4	7	6	5	9	6	9	6	1
M26952H	4	8	8	8	9	7	10	9	1
M26963L	4	4	4	6	9	6	10	3	1
M26966P	4	7	6	6	4	7	6	6	2
M27028J	4	2	2	2	4	3	6	2	1
M27059R	4	2	1	2	3	1	3	5	2
M27100Z	4	8	8	8	4	10	2	5	2
M27110B	4	6	5	6	5	6	2	6	2
M27129N	4	10	10	10	9	8	6	10	2
M27153N	4	2	2	3	4	1	2	2	2
M27182T	4	3	4	4	2	4	5	2	2
M27226N	4	8	8	8	7	7	9	7	1
M27238S	4	3	3	4	2	3	3	7	2
M27272U	4	8	7	7	7	9	3	9	2
M27277Z	4	1	1	1	1	1	1	1	2
M27281V	4	3	2	4	6	3	6	6	2
M27318R	4	4	3	3	4	6	10	6	1
M27354V	4	1	1	1	1	1	1	1	2
M27372X	4	6	5	5	4	6	7	8	2
M27397G	4	10	10	10	7	10	6	7	2
M27410L	4	3	3	3	4	2	4	6	2
M27503Q	4	8	8	8	6	9	5	7	1
M27535Y	4	2	2	2	2	1	1	3	2
M27540V	4	5	4	4	3	6	6	5	2
M27573E	4	10	10	9	8	10	8	10	1
M27596M	4	2	2	1	1	3	4	2	2
M27611T	4	1	1	1	1	4	1	1	2
M27649H	4	6	6	7	4	7	8	6	1
M27669M	4	6	7	6	9	4	10	3	1
M27684L	4	2	2	2	4	3	6	2	1
M27714Z	4	3	3	4	4	4	3	2	2
M27743E	4	4	4	5	7	4	7	5	1
M27827H	4	9	10	9	10	7	8	10	2
M27838L	4	8	8	10	6	6	8	10	1
M27853K	4	1	1	1	1	4	1	1	2
M27899Z	4	5	4	6	7	5	5	5	1
M27912D	4	8	8	9	10	7	9	6	1
M27925J	4	4	5	5	6	4	9	2	1
M27933J	4	10	10	9	8	10	8	10	1
M27944M	4	2	1	3	4	2	3	3	2
M27988Z	4	9	8	9	7	9	8	8	2
M27990T	4	3	3	2	4	7	10	7	1
M28013F	4	3	4	4	2	4	5	2	2
M28027M	4	8	6	8	10	7	5	6	2
M28052N	4	2	1	3	4	2	3	3	2
M28098C	4	5	4	5	6	4	2	9	2
M28106K	4	4	4	4	6	4	5	5	2
M28115L	4	3	3	3	3	2	7	6	2
M28128R	4	1	1	1	2	1	3	3	2
M28135Q	4	5	5	5	7	4	10	4	1
M28154T	4	2	1	3	4	2	3	3	2
M28173W	4	6	6	6	6	4	7	5	1
M28223P	4	2	2	2	3	2	4	1	1
M28282A	4	3	3	3	5	2	5	3	1
M28285D	4	10	10	9	8	10	8	10	1
M28296G	4	3	3	2	4	2	5	4	2
M28341U	4	9	9	8	9	8	7	10	2
M28351W	4	9	9	9	6	10	7	7	2
M28358D	4	2	1	3	4	2	3	3	2
M28378H	4	4	4	4	2	8	1	5	2
M28406U	4	8	9	10	8	8	3	6	1
M28407V	4	8	8	8	4	10	3	8	2
M28411R	4	3	4	4	2	4	5	2	2
M28461B	4	9	9	8	10	9	7	10	2
M28488N	4	9	8	8	6	9	7	9	1
M28510T	4	2	2	2	4	3	6	2	1
M28546F	4	9	8	8	6	10	8	7	2
M28623B	4	9	9	9	8	8	10	8	2
M28624C	4	3	3	4	4	5	2	6	2
M28657M	4	6	6	6	5	7	10	6	1
M28715E	4	1	1	2	3	1	1	1	2
M28722D	4	9	8	8	6	10	8	7	2
M28738M	4	6	5	6	6	8	1	8	2
M28771N	4	6	6	6	5	7	10	6	1
M28854Q	4	10	9	9	10	10	5	10	2
M28883V	4	10	10	10	10	9	7	10	1
M28910F	4	10	9	8	9	9	6	9	2
M28949W	4	3	4	3	3	3	5	3	1
M28959Y	4	4	4	4	6	4	5	5	2
M28962T	4	10	10	10	6	10	6	9	2
M29017P	4	6	5	6	6	8	1	8	2
M29078C	4	10	9	9	10	10	7	9	2
M29144V	4	9	9	8	10	9	7	10	2
M29148Z	4	9	10	9	8	9	9	8	2
M29154X	4	9	9	9	8	8	10	8	2
M29160V	4	9	9	7	8	7	9	7	2
M29235X	4	7	8	8	7	7	9	5	1
M29239B	4	6	6	7	5	5	4	7	1
M29303S	4	3	4	3	6	3	7	1	1
M29307W	4	4	3	5	9	3	3	7	2
M29334Z	4	10	9	9	10	10	5	10	2
M29351A	4	9	8	8	6	10	8	7	2
M29360B	4	9	8	8	10	7	8	10	2
M29380F	4	3	3	4	4	5	2	6	2
M29386M	4	3	2	4	5	3	5	3	1
M29422Y	4	4	5	6	5	3	5	5	1
M29432A	4	2	2	2	2	3	1	2	2
M29435D	4	9	9	8	5	10	3	10	2
M29454G	4	10	10	10	10	7	4	10	2
M29484N	4	3	4	3	4	2	3	3	2
M29487R	4	4	4	3	3	3	6	5	2
M29505A	4	2	2	2	4	3	6	2	1
M29514B	4	4	5	6	5	3	5	5	1
M29516D	4	4	6	5	9	4	9	4	1
M29518F	4	2	2	3	2	4	5	1	2
M29549N	4	9	9	9	10	7	10	9	2
M29559Q	4	8	8	7	8	7	6	8	2
M29567Q	4	4	4	5	7	4	7	5	1
M29585S	4	10	10	10	10	10	6	8	2
M29612C	4	9	10	10	8	8	9	7	2
M29620C	4	2	2	2	3	1	9	2	2
M29669V	4	6	6	6	8	7	9	2	1
M29674S	4	7	9	8	5	6	9	9	1
M29702D	4	4	4	5	4	3	4	4	2
M29707J	4	10	10	10	10	10	9	10	2
M29737Q	4	1	1	1	1	1	1	1	2
M29752P	4	4	4	5	7	4	7	5	1
M29766V	4	4	4	5	4	3	4	4	2
M29773U	4	1	1	2	1	1	6	1	2
M29784X	4	8	8	8	6	9	5	7	1
M29786Z	4	6	5	6	6	8	1	8	2
M29811H	4	2	1	1	5	2	4	2	1
M29815M	4	9	9	9	6	10	7	7	2
M29819R	4	5	5	4	7	3	5	6	2
M29881X	4	8	7	7	5	10	2	7	2
M29886C	4	5	5	7	7	5	10	4	1
M29908R	4	9	9	7	7	10	6	10	2
M29944V	4	4	4	5	2	9	1	3	2
M29956Z	4	3	3	2	3	4	7	5	2
M29969E	4	4	4	4	6	3	3	5	2
M29987G	4	3	4	4	2	4	5	2	2
M30005C	4	7	8	7	4	10	4	9	2
M30055N	4	10	9	10	7	10	3	8	2
M30075S	4	5	4	5	6	4	3	2	2
M30094V	4	1	1	1	1	3	1	1	2
M30131H	4	2	2	4	5	4	10	1	1
M30140J	4	3	2	4	6	3	6	6	2
M30145P	4	4	5	4	7	3	9	4	1
M30181T	4	10	10	9	8	10	8	10	1
M30183V	4	5	4	4	8	5	10	7	1
M30222K	4	9	10	9	8	9	9	8	2
M30258X	4	5	5	4	7	3	5	6	2
M30269A	4	8	8	8	8	6	8	8	2
M30294B	4	6	6	6	5	7	10	6	1
M30297E	4	4	4	5	3	8	1	8	2
M30319T	4	7	7	7	8	7	7	8	1
M30322N	4	5	4	5	8	6	10	4	1
M30391B	4	2	1	3	4	2	3	3	2
M30435W	4	2	2	3	4	1	2	2	2
M30494H	4	1	1	1	1	2	1	2	2
M30501P	4	1	1	2	1	1	6	1	2
M30519Z	4	2	2	2	2	2	4	2	2
M30532W	4	4	3	3	4	6	10	6	1
M30541X	4	5	6	5	6	6	8	6	1
M30568J	4	6	7	5	8	7	9	7	1
M30569K	4	4	5	5	6	4	9	4	1
M30630X	4	1	1	1	1	1	1	2	2
M30647G	4	9	9	9	10	7	6	10	2
M30679Q	4	7	7	6	9	8	6	6	2
M30736G	4	5	3	3	4	7	5	8	2
M30778S	4	5	5	7	7	5	10	4	1
M30814D	4	4	3	5	9	3	3	7	2
M30824F	4	9	9	9	6	10	7	7	2
M30848P	4	9	8	8	9	9	6	7	1
M30860K	4	9	7	8	10	9	2	5	2
M30861L	4	10	10	10	7	10	2	9	2
M30871N	4	4	3	3	4	6	10	6	1
M30903D	4	7	7	7	7	5	10	7	1
M30905F	4	5	6	5	6	6	8	6	1
M30976W	4	3	2	4	6	3	6	6	2
M31000B	4	2	2	2	3	2	3	3	2
M31038R	4	7	5	7	6	8	8	8	2
M31041L	4	2	2	2	1	5	1	3	2
M31088B	4	3	5	3	5	2	7	4	1
M31178C	4	5	5	6	3	6	5	5	2
M31193B	4	6	4	3	6	7	6	8	2
M31199H	4	6	7	7	7	6	8	8	1
M31211L	4	9	9	9	8	9	6	10	1
M31214P	4	8	8	8	9	7	10	9	1
M31230P	4	2	2	2	3	2	4	1	1
M31231Q	4	1	1	1	1	1	1	1	2
M31249A	4	2	2	3	4	1	2	2	2
M31277E	4	2	1	1	5	2	4	2	1
M31323T	4	10	9	9	10	9	7	10	2
M31369H	4	1	1	2	1	1	6	1	2
M31406V	4	3	2	3	9	3	10	2	1
M31408X	4	2	2	4	5	4	10	1	1
M31419A	4	8	7	7	5	10	2	7	2
M31476K	4	8	9	8	7	7	8	9	1
M31513X	4	5	4	5	4	6	4	4	2
M31523Z	4	9	9	8	7	9	8	7	2
M31525B	4	5	5	4	2	6	3	4	2
M31548J	4	2	2	4	5	4	10	1	1
M31569P	4	9	9	7	8	7	9	7	2
M31747P	4	2	3	2	2	4	2	5	2
M31769V	4	5	4	5	6	4	7	5	1
M31796Y	4	2	2	1	2	3	3	1	2
M31816K	4	5	4	6	7	5	5	5	1
M31823J	4	1	1	1	2	3	6	2	2
M31857U	4	8	8	8	9	7	10	9	1
M31874V	4	6	6	7	4	7	8	6	1
M31894Z	4	2	2	3	2	4	5	1	2
M31902G	4	5	4	6	7	5	5	5	1
M31908N	4	8	8	9	8	5	4	3	2
M31927R	4	6	7	6	6	5	9	5	1
M31980W	4	3	4	3	4	2	3	3	2
M32101K	4	6	6	6	6	4	7	5	1
M32111M	4	4	3	4	9	4	10	6	1
M32120N	4	10	9	9	10	10	5	9	2
M32229A	4	9	9	7	8	7	9	7	2
M32250X	4	3	5	3	2	2	6	6	2
M32316Y	4	5	4	6	7	5	5	5	1
M32333Z	4	6	5	5	5	7	9	7	1
M32353D	4	5	5	5	5	5	5	6	1
M32357H	4	6	6	5	5	8	1	6	2
M32362E	4	8	8	8	7	6	5	9	2
M32392L	4	1	2	1	2	2	3	3	2
M32407A	4	8	8	8	10	8	6	7	1
M32408B	4	10	10	10	10	10	6	10	2
M32426D	4	3	3	3	5	2	5	3	1
M32457L	4	4	3	4	9	4	10	6	1
M32465L	4	4	4	5	7	4	7	5	1
M32472K	4	7	7	7	4	5	4	5	2
M32513B	4	10	10	10	9	10	9	10	2
M32534G	4	2	2	2	3	1	4	2	2
M32551H	4	8	9	10	8	8	3	6	1
M32579V	4	8	9	9	4	10	1	5	2
M32592S	4	10	10	10	10	8	7	10	2
M32593T	4	1	1	1	1	2	1	2	2
M32612D	4	7	7	8	6	4	7	7	2
M32622F	4	2	2	1	2	2	4	6	2
M32695Y	4	5	5	4	7	3	5	6	2
M32753R	4	4	3	3	4	6	10	6	1
M32764U	4	7	8	8	4	7	9	4	1
M32794A	4	4	5	5	6	5	10	3	1
M32828T	4	9	8	8	6	10	8	7	2
M32830M	4	5	6	6	3	5	5	1	2
M32839W	4	1	2	2	1	1	1	3	2
M32848X	4	7	7	7	7	5	10	7	1
M32873Y	4	9	9	10	6	7	8	10	2
M32899J	4	10	10	10	7	10	8	10	2
M32901K	4	6	6	7	7	4	10	5	1
M32916S	4	1	1	1	2	1	3	1	2
M32939Z	4	9	9	8	10	9	7	10	2
M32941T	4	7	6	7	9	7	10	7	1
M32997K	4	1	1	1	2	1	3	3	2
M33016T	4	9	8	8	9	10	4	10	2
M33070Z	4	3	2	4	5	3	5	3	1
M33080B	4	1	1	1	1	2	4	2	2
M33087J	4	7	9	9	8	8	4	8	1
M33100N	4	6	6	7	3	8	8	7	1
M33109X	4	10	10	9	8	10	8	10	1
M33124W	4	5	4	6	7	5	5	5	1
M33144A	4	8	8	8	7	6	5	9	2
M33171D	4	1	1	1	2	3	6	2	2
M33186L	4	1	2	2	1	1	1	2	2
M33239G	4	5	6	5	6	6	8	6	1
M33272H	4	1	2	2	1	1	1	2	2
M33282K	4	7	6	6	4	7	6	6	2
M33283L	4	10	9	9	10	9	10	8	1
M33324C	4	2	2	2	3	2	4	1	1
M33326E	4	9	10	9	8	9	9	8	2
M33342E	4	7	6	6	7	5	9	6	1
M33374N	4	4	4	4	6	4	5	5	2
M33385R	4	8	8	8	9	7	10	9	1
M33414D	4	1	1	1	1	2	2	1	2
M33418H	4	1	1	2	3	1	1	1	2
M33432F	4	4	5	5	6	4	9	4	1
M33450H	4	3	3	4	10	2	9	3	1
M33454M	4	5	3	3	4	7	5	8	2
M33455N	4	2	3	3	5	2	3	1	2
M33488X	4	10	9	9	10	10	5	10	2
M33597B	4	9	9	9	8	8	10	8	2
M33602F	4	1	1	2	5	2	2	2	2
M33612H	4	4	3	4	9	4	10	6	1
M33654T	4	1	1	1	1	1	2	2	2
M33710J	4	8	9	9	8	7	8	5	1
M33735T	4	2	2	2	3	2	2	3	2
M33751T	4	9	8	9	10	6	6	5	2
M33803N	4	3	2	4	6	3	6	6	2
M33805Q	4	3	4	4	2	2	1	6	2
M33821Q	4	7	5	7	5	6	7	6	2
M33834V	4	6	7	7	7	6	8	8	1
M33880B	4	6	7	5	8	7	9	7	1
M33882D	4	2	2	4	5	4	10	1	1
M33934Y	4	1	2	2	1	1	1	3	2
M33956E	4	8	9	8	5	7	7	6	2
M33965F	4	5	6	6	6	8	4	5	1
M33967H	4	4	4	4	2	8	1	5	2
M33981F	4	3	4	4	2	4	5	2	2
M34007W	4	4	4	4	4	2	3	7	1
M34034Z	4	2	2	3	3	1	1	2	2
M34089Q	4	8	9	8	5	7	7	6	2
M34120W	4	2	2	4	5	4	10	1	1
M34170G	4	1	1	1	1	1	3	2	2
M34243G	4	2	2	4	5	4	10	1	1
M34256M	4	4	5	6	5	3	5	5	1
M34282P	4	10	9	10	10	10	7	10	2
M34299Y	4	10	10	9	10	9	9	10	2
M34302A	4	10	10	10	10	9	7	10	1
M34353M	4	7	7	6	9	8	6	6	2
M34354N	4	1	1	1	1	1	3	1	2
M34357R	4	2	2	2	3	2	4	1	1
M34361M	4	7	6	7	9	7	10	7	1
M34374S	4	1	1	1	1	2	4	2	2
M34437Q	4	6	6	7	4	7	8	6	1
M34450M	4	1	1	1	1	1	2	1	2
M34482V	4	2	2	2	3	2	4	1	1
M34495A	4	1	1	1	1	2	4	2	2
M34509P	4	6	6	4	5	7	6	6	2
M34510G	4	2	3	3	4	2	8	2	1
M34578C	4	4	5	4	7	3	9	4	1
M34619U	4	6	6	6	5	4	3	6	2
M34631Q	4	6	5	6	10	4	5	4	1
M34674B	4	1	2	2	1	1	1	3	2
M34710N	4	4	4	4	6	4	5	5	2
M34719X	4	5	5	4	7	4	7	1	1
M34757D	4	8	8	10	5	7	2	2	2
M34805U	4	5	5	7	7	5	10	4	1
M34826Z	4	8	8	6	5	10	7	9	2
M34856F	4	6	6	6	5	4	6	5	2
M34865G	4	6	6	7	4	7	8	6	1
M34874H	4	9	9	9	8	9	9	7	1
M34956J	4	4	3	4	9	4	10	6	1
M35044F	4	5	6	6	6	8	4	5	1
M35047J	4	7	5	7	6	8	8	8	2
M35048K	4	5	5	4	7	3	5	6	2
M35050D	4	5	5	4	8	6	10	8	1
M35061G	4	6	6	7	4	7	8	6	1
M35080K	4	6	7	5	8	7	9	7	1
M35091N	4	2	2	2	4	3	6	2	1
M35108E	4	9	9	9	6	10	7	7	2
M35128J	4	5	6	6	3	5	5	1	2
M35145K	4	4	4	5	5	3	9	3	1
M35178U	4	9	8	8	9	8	5	9	2
M35189X	4	10	9	9	10	10	6	10	2
M35214F	4	3	4	3	4	2	3	3	2
M35245N	4	3	3	3	5	2	5	3	1
M35247Q	4	10	10	10	9	10	10	10	2
M35249S	4	8	9	9	4	10	1	5	2
M35266T	4	8	8	8	7	6	5	9	2
M35282T	4	2	1	2	4	3	3	2	2
M35283U	4	5	4	5	4	5	2	7	2
M35324L	4	6	6	7	4	7	8	6	1
M35326N	4	4	4	4	6	4	5	5	2
M35342N	4	8	8	9	10	7	9	6	1
M35395B	4	4	4	4	6	4	5	5	2
M35400F	4	7	6	7	4	9	7	7	2
M35471W	4	8	7	9	9	8	2	7	2
M35501K	4	9	10	9	8	9	9	8	2
M35523R	4	3	3	3	3	1	4	3	2
M35531R	4	6	7	5	8	7	9	7	1
M35568E	4	2	1	2	3	1	3	5	2
M35595H	4	5	5	7	7	5	10	4	1
M35617W	4	2	3	3	1	3	2	1	2
M35663C	4	6	6	6	5	4	6	5	2
M35684H	4	8	8	7	8	6	8	9	2
M35686K	4	3	2	4	6	3	6	6	2
M35730W	4	4	3	4	9	4	10	6	1
M35768L	4	6	7	6	9	4	10	3	1
M35795P	4	9	9	9	8	7	7	8	1
M35862H	4	9	10	9	8	9	9	8	2
