MCSID	FACTRY00	FISIMDSC	FISIMDIN	FISIMDEM	FISIMDHD	FISIMDES	FISIMDHO	FISIMDMG	FISRURUR
M30028K	3	5	4	5	8	4	2	8	1
M30037L	3	6	7	6	7	6	9	2	3
M30049Q	3	9	10	9	9	8	9	2	2
M30054M	3	2	2	1	2	2	2	7	1
M30115H	3	9	10	9	10	10	10	2	2
M30124J	3	10	10	9	9	9	9	7	1
M30144N	3	7	6	7	8	7	7	4	3
M30149T	3	5	6	5	3	5	4	9	3
M30166U	3	8	9	8	10	8	9	1	6
M30204H	3	6	7	7	7	9	2	1	6
M30230K	3	9	10	10	10	8	10	2	2
M30251Q	3	4	4	4	4	3	6	4	3
M30289E	3	4	4	4	5	4	5	2	1
M30328U	3	7	7	5	5	9	4	9	1
M30341R	3	6	5	5	6	6	4	9	2
M30342S	3	8	8	9	7	5	8	6	3
M30363X	3	7	8	8	7	8	8	1	6
M30384C	3	1	1	1	2	1	5	8	2
M30398J	3	9	9	10	10	10	10	2	5
M30404P	3	10	10	10	10	10	10	4	1
M30417U	3	1	1	1	1	1	4	7	6
M30419W	3	8	7	6	8	8	9	7	4
M30449C	3	5	6	5	5	4	3	4	2
M30484F	3	1	1	1	1	1	1	3	1
M30488K	3	2	3	2	2	3	2	9	1
M30500N	3	7	7	6	8	7	7	1	4
M30516W	3	8	10	8	8	6	9	2	5
M30518Y	3	5	6	5	5	5	5	5	2
M30525X	3	2	2	4	2	1	4	6	3
M30527Z	3	4	3	4	4	5	7	2	4
M30589P	3	8	8	9	7	5	8	6	3
M30592J	3	3	4	4	5	2	4	8	3
M30599R	3	5	5	4	5	5	7	7	3
M30642B	3	3	4	3	4	2	4	1	3
M30695Q	3	1	1	2	1	1	2	5	1
M30703X	3	1	1	2	2	2	4	5	2
M30745H	3	8	7	9	8	7	7	3	4
M30836K	3	9	8	9	6	9	5	9	1
M30846M	3	4	4	3	4	3	2	9	2
M30850H	3	10	10	9	10	10	10	5	1
M30864P	3	6	7	7	8	10	4	1	6
M30895W	3	1	1	2	3	1	4	8	1
M30916J	3	6	6	6	4	7	8	3	2
M30919M	3	4	5	5	4	3	5	2	1
M30921F	3	10	10	10	10	9	9	7	1
M30932J	3	9	10	9	10	10	10	1	3
M30954Q	3	6	5	4	7	7	6	5	3
M30956S	3	2	2	2	3	1	3	5	1
M30966U	3	3	3	2	3	2	5	8	3
M30980S	3	7	7	5	4	7	10	7	2
M31042M	3	2	2	2	2	3	1	7	1
M31047S	3	3	2	3	4	3	9	3	2
M31079A	3	6	7	6	8	8	8	1	5
M31085Y	3	5	5	4	5	5	8	4	2
M31112J	3	9	10	9	9	6	10	3	1
M31128S	3	3	2	2	3	5	1	8	1
M31140N	3	4	5	4	5	4	7	1	5
M31141P	3	8	9	9	7	8	9	1	5
M31148W	3	9	10	8	8	8	9	4	1
M31171V	3	8	7	9	9	8	8	1	5
M31183Z	3	6	7	6	7	6	6	3	2
M31212M	3	10	10	10	7	10	5	10	1
M31219U	3	5	4	5	5	4	6	6	5
M31222P	3	7	7	7	9	6	10	2	6
M31226T	3	6	5	5	8	6	7	4	6
M31244V	3	8	7	9	9	8	8	1	5
M31245W	3	1	1	1	2	1	4	7	2
M31263Y	3	10	8	10	10	10	8	7	6
M31264Z	3	1	1	1	2	1	1	8	1
M31268D	3	7	6	7	7	6	5	9	3
M31307T	3	6	7	6	7	6	6	3	2
M31313R	3	4	5	4	4	4	6	6	3
M31358E	3	1	1	1	2	1	1	8	1
M31376G	3	10	9	9	9	9	9	8	3
M31394J	3	9	9	7	8	8	10	7	2
M31407W	3	10	10	10	9	10	10	9	1
M31462D	3	9	9	6	7	9	9	9	2
M31496P	3	10	9	10	9	10	8	10	1
M31504W	3	5	6	8	7	3	4	1	5
M31516A	3	9	8	10	10	10	10	2	3
M31521X	3	10	9	10	9	10	10	3	2
M31527D	3	10	9	8	8	9	10	8	2
M31536E	3	9	10	7	8	9	10	5	3
M31545F	3	5	5	4	6	5	7	4	1
M31546G	3	6	6	8	8	6	4	1	6
M31551D	3	5	5	5	6	3	7	4	2
M31572J	3	7	5	8	6	8	6	8	3
M31599V	3	9	9	8	7	9	9	3	3
M31607C	3	10	10	10	9	10	10	4	3
M31616D	3	6	7	8	4	8	7	1	5
M31692R	3	5	3	6	7	5	8	2	4
M31784U	3	5	5	4	3	4	2	10	1
M31793V	3	9	9	10	10	10	9	2	5
M31817L	3	10	9	9	10	10	9	8	1
M31825L	3	9	9	8	8	7	10	5	3
M31829Q	3	1	1	1	1	1	1	6	1
M31830H	3	2	1	3	3	1	2	7	1
M31858V	3	9	8	8	7	9	8	6	3
M31887A	3	2	1	3	3	1	2	7	1
M31901F	3	3	3	2	2	4	7	8	6
M31981X	3	7	7	8	7	6	6	2	5
M31993B	3	6	6	6	8	8	4	3	6
M31998G	3	9	10	9	9	6	10	3	1
M32029U	3	7	8	8	7	8	7	1	5
M32050R	3	4	4	5	5	2	3	5	5
M32135V	3	5	5	5	7	6	1	10	1
M32152W	3	8	9	10	7	8	5	1	5
M32153X	3	1	1	1	2	2	2	5	2
M32158C	3	9	8	8	8	7	10	4	5
M32161X	3	10	10	10	9	10	10	4	3
M32182C	3	1	1	1	1	1	2	9	1
M32187H	3	9	10	9	9	9	9	2	2
M32197K	3	4	5	4	3	5	8	4	2
M32220R	3	8	7	7	8	7	7	10	5
M32247C	3	4	4	3	4	4	2	4	1
M32253A	3	8	9	10	10	9	4	1	5
M32276H	3	5	5	6	4	5	4	7	1
M32309Z	3	8	10	9	8	10	9	1	2
M32320U	3	3	2	4	2	4	3	5	1
M32322W	3	7	6	6	6	6	7	6	5
M32365H	3	4	4	4	4	4	7	9	2
M32372G	3	4	5	3	3	4	7	10	2
M32400T	3	8	10	10	10	9	4	1	6
M32438H	3	9	8	10	10	6	10	6	4
M32439J	3	9	10	9	9	8	9	2	2
M32450D	3	9	9	9	8	8	6	3	2
M32466M	3	3	2	4	4	4	4	8	2
M32477Q	3	3	4	3	4	2	4	1	3
M32493Q	3	1	1	2	2	1	1	6	1
M32501X	3	10	9	10	9	10	10	8	1
M32542G	3	8	9	9	9	5	10	3	2
M32570L	3	8	7	7	8	8	9	9	1
M32650K	3	9	9	9	10	9	10	1	3
M32658T	3	1	1	1	1	1	1	4	1
M32671Q	3	6	6	6	6	6	5	5	3
M32700C	3	5	5	3	4	7	7	8	2
M32709M	3	8	10	8	7	9	10	2	3
M32715K	3	8	10	8	8	6	9	2	5
M32754S	3	3	2	3	3	3	6	8	3
M32786A	3	5	3	6	7	5	8	2	4
M32795B	3	3	3	4	4	1	3	8	3
M32803J	3	10	10	9	8	8	10	6	2
M32806M	3	6	7	7	10	9	5	1	6
M32816P	3	9	10	7	9	8	10	3	2
M32867A	3	4	4	4	3	4	5	7	1
M32872X	3	5	6	3	3	5	5	8	5
M32875A	3	4	5	4	4	4	6	6	3
M32893C	3	3	3	4	4	1	3	8	3
M32932S	3	4	5	4	4	4	4	3	1
M32963Z	3	7	8	9	9	8	7	1	5
M33045Y	3	4	3	4	6	3	6	4	5
M33060X	3	7	6	6	5	8	9	8	2
M33062Z	3	3	3	4	3	5	3	2	3
M33097L	3	9	10	9	10	10	9	2	1
M33117X	3	2	2	3	4	2	4	3	2
M33127Z	3	5	5	6	4	5	4	7	1
M33157F	3	4	5	5	4	4	2	7	1
M33168J	3	6	6	5	8	8	7	2	5
M33181F	3	9	9	7	8	10	10	4	2
M33228D	3	8	9	7	8	8	10	2	2
M33243C	3	3	4	3	4	4	4	5	1
M33245E	3	6	6	6	7	6	4	5	5
M33274K	3	3	2	2	2	6	6	9	2
M33276M	3	3	2	3	6	5	7	2	4
M33320Y	3	2	1	1	2	3	5	9	2
M33328G	3	8	9	7	8	8	10	2	2
M33340C	3	1	1	1	1	1	1	7	1
M33352G	3	5	5	5	5	4	4	9	5
M33367P	3	5	7	5	6	5	3	2	2
M33379T	3	10	10	10	10	10	9	2	5
M33424F	3	7	7	6	8	7	7	1	4
M33428K	3	1	1	1	1	1	4	4	6
M33444K	3	7	6	6	9	7	3	7	1
M33446M	3	7	8	7	8	8	5	2	6
M33475S	3	4	4	4	5	3	5	5	3
M33485U	3	2	2	2	2	3	4	10	2
M33490R	3	10	10	10	10	10	10	4	1
M33541K	3	6	6	5	5	6	9	4	2
M33558U	3	6	7	6	7	9	8	1	5
M33572S	3	6	6	5	6	6	8	9	3
M33573T	3	5	5	6	7	4	4	2	6
M33609N	3	9	9	10	10	10	8	1	6
M33620H	3	1	1	1	1	1	1	4	1
M33634P	3	1	1	2	2	2	3	5	1
M33639U	3	9	9	9	10	9	10	1	3
M33665W	3	8	7	7	7	9	6	9	2
M33670T	3	2	2	1	2	3	1	7	1
M33673W	3	5	6	4	4	6	8	5	2
M33677A	3	6	6	6	7	6	3	5	4
M33680V	3	4	4	4	5	5	7	1	6
M33729V	3	3	4	2	3	4	6	9	3
M33764Y	3	1	1	1	1	1	3	7	2
M33820P	3	1	1	2	2	2	2	2	1
M33863A	3	9	7	8	8	10	7	7	3
M33905T	3	6	4	6	7	6	7	4	2
M33998Q	3	10	10	10	10	10	9	2	5
M34048F	3	9	9	8	9	9	10	3	2
M34058H	3	1	1	1	1	1	1	9	1
M34067J	3	8	10	10	10	9	4	1	6
M34077L	3	5	5	5	4	3	3	8	5
M34081G	3	9	10	9	10	10	10	1	3
M34095N	3	2	2	3	2	2	3	3	1
M34102U	3	3	4	2	3	4	6	9	3
M34122Y	3	2	1	2	3	2	4	5	3
M34134C	3	2	2	2	2	1	3	9	2
M34156J	3	9	9	8	9	9	10	5	2
M34168N	3	1	1	1	2	2	2	5	2
M34178Q	3	10	10	10	10	10	10	5	2
M34202X	3	7	7	8	7	8	6	3	2
M34219G	3	1	1	1	1	1	4	4	6
M34246K	3	10	10	10	10	10	10	3	1
M34258P	3	4	3	4	8	8	5	2	6
M34292R	3	1	1	1	1	1	2	6	1
M34305D	3	10	10	10	9	10	9	5	1
M34317H	3	8	7	7	7	8	9	7	2
M34352L	3	2	2	2	3	1	3	5	1
M34355P	3	6	6	6	5	6	7	2	2
M34364Q	3	4	4	4	2	7	2	9	1
M34376U	3	5	5	5	5	5	9	1	2
M34386W	3	9	10	10	10	10	10	2	3
M34387X	3	1	1	1	1	1	1	3	1
M34395X	3	10	10	9	8	10	10	8	2
M34399B	3	4	3	4	3	4	2	10	1
M34411E	3	4	4	4	3	4	4	4	2
M34445Q	3	1	1	1	1	1	2	6	1
M34455S	3	9	10	9	10	10	10	2	2
M34464T	3	9	10	10	8	9	7	3	2
M34473U	3	9	10	10	8	9	7	3	2
M34476X	3	9	8	9	6	9	3	9	1
M34550Q	3	8	7	8	9	7	4	7	1
M34567Z	3	10	9	10	10	10	9	8	1
M34573X	3	7	7	8	7	6	7	2	3
M34576A	3	5	4	6	3	6	6	6	6
M34577B	3	2	3	2	3	1	2	2	1
M34585B	3	3	2	3	3	2	7	5	2
M34613N	3	2	2	2	2	2	2	9	2
M34614P	3	10	9	10	10	10	9	4	1
M34642T	3	4	4	6	5	1	2	5	1
M34643U	3	10	10	10	9	8	6	4	1
M34648Z	3	8	8	6	6	5	9	8	1
M34672Z	3	10	10	10	10	10	9	2	5
M34676D	3	7	8	10	9	8	6	1	5
M34678F	3	6	7	7	9	8	4	1	6
M34704Q	3	6	5	7	8	6	7	6	6
M34728Y	3	7	6	8	9	7	6	3	5
M34740U	3	4	5	4	4	5	8	2	2
M34758E	3	5	6	7	8	8	5	1	6
M34791F	3	5	4	5	5	4	3	3	2
M34812T	3	2	2	3	5	3	4	6	2
M34857G	3	6	5	6	5	6	8	8	2
M34862D	3	9	9	8	7	9	9	3	3
M34867J	3	7	5	7	6	6	7	7	3
M34875J	3	8	8	8	6	8	10	5	3
M34884K	3	5	6	6	5	7	7	1	6
M34887N	3	8	8	7	9	10	9	2	2
M34890H	3	6	7	6	7	9	8	1	5
M34910U	3	2	1	2	1	2	2	10	2
M34915Z	3	7	6	7	8	7	7	4	3
M34921X	3	7	7	6	7	7	6	5	6
M34928E	3	10	9	8	9	10	9	8	5
M34937F	3	2	2	2	3	1	3	5	1
M34961F	3	10	10	10	9	10	9	3	1
M34964J	3	6	6	6	4	7	8	3	2
M35032B	3	4	4	3	4	4	2	6	3
M35060F	3	5	5	5	6	3	7	7	2
M35065L	3	9	10	10	10	10	10	2	3
M35071J	3	1	1	1	1	1	1	7	1
M35072K	3	9	8	8	6	10	9	10	5
M35105B	3	5	6	6	4	5	6	3	2
M35131D	3	4	5	3	3	4	4	3	2
M35162L	3	10	10	9	10	10	8	3	1
M35176S	3	9	9	7	8	9	10	8	2
M35186U	3	7	6	6	5	9	5	9	2
M35188W	3	10	9	8	10	10	10	6	1
M35198Y	3	5	6	5	3	5	4	9	3
M35231G	3	10	10	10	10	10	10	8	1
M35248R	3	1	1	1	1	1	1	6	1
M35257S	3	1	1	1	1	1	1	10	1
M35259U	3	5	4	6	6	4	4	9	1
M35265S	3	6	7	7	7	9	2	1	6
M35269W	3	5	6	5	4	3	4	7	5
M35273S	3	7	8	6	7	8	9	2	5
M35294X	3	7	7	9	9	9	4	1	6
M35376Y	3	1	1	1	1	1	2	5	2
M35377Z	3	6	6	6	6	5	4	10	6
M35384Y	3	1	2	1	1	1	2	7	2
M35403J	3	3	3	3	5	1	4	5	3
M35404K	3	3	3	3	6	2	5	8	5
M35424P	3	1	1	2	2	1	3	4	1
M35449Y	3	4	5	4	5	4	7	1	5
M35489G	3	5	5	4	5	7	4	5	3
M35537X	3	7	5	7	9	4	10	5	2
M35577F	3	6	6	6	6	6	5	6	3
M35611Q	3	6	7	6	7	6	5	3	2
M35629A	3	9	10	8	9	8	7	3	3
M35644Z	3	6	5	7	8	6	7	6	6
M35670B	3	2	3	1	2	3	3	9	2
M35673E	3	4	5	4	5	4	7	1	5
M35700Q	3	9	8	8	8	8	9	6	5
M35713V	3	9	9	9	10	10	8	2	1
M35722W	3	7	9	8	7	8	8	1	5
M35732Y	3	8	8	8	7	7	7	4	5
M35740Y	3	1	1	1	1	1	3	4	1
M35743B	3	2	2	2	3	2	5	7	2
M35754E	3	5	4	5	7	5	9	3	2
M35761D	3	5	4	5	7	5	9	3	2
M35764G	3	2	4	2	2	4	3	3	2
M35789R	3	5	5	5	4	3	4	7	1
M35797R	3	8	8	9	9	7	7	2	5
M35803W	3	7	8	6	9	6	6	3	3
M35815A	3	9	10	9	9	6	10	3	1
M35820X	3	10	9	10	9	10	8	10	1
M35822Z	3	9	10	8	8	8	10	3	2
M35823A	3	2	2	3	1	1	3	4	2
M35828F	3	10	9	9	9	10	10	7	1
M35869Q	3	2	3	3	3	3	6	1	2
M35873L	3	8	8	9	8	8	7	3	2
