MCSID	FACTRY00	FISIMDSC	FISIMDIN	FISIMDEM	FISIMDHD	FISIMDES	FISIMDHO	FISIMDMG	FISRURUR
M21086U	3	10	10	10	10	10	10	5	1
M21161N	3	5	5	5	6	4	6	9	1
M21171Q	3	3	2	4	6	1	2	7	1
M21195Y	3	5	6	7	5	7	4	1	6
M21203F	3	4	3	5	4	4	1	9	1
M21277Z	3	1	1	2	3	1	2	8	1
M21290W	3	10	10	9	10	10	10	5	1
M21292Y	3	5	8	6	5	7	4	1	6
M21300F	3	9	9	10	9	10	10	2	5
M21314M	3	10	9	9	10	10	10	4	1
M21315N	3	8	8	8	7	7	7	6	4
M21339W	3	8	6	8	7	9	1	10	1
M21358Z	3	8	10	9	8	8	9	2	3
M21407R	3	4	5	3	7	3	5	6	4
M21420N	3	5	4	4	7	7	6	9	4
M21431R	3	8	8	7	8	8	7	3	5
M21446Y	3	5	5	3	4	5	7	8	2
M21566F	3	7	6	8	9	7	6	3	5
M21580D	3	3	3	2	3	7	2	4	2
M21604U	3	9	8	9	8	10	10	4	2
M21644C	3	3	4	3	3	4	4	7	1
M21673H	3	6	6	6	6	5	4	10	6
M21693M	3	10	9	10	10	10	9	8	1
M21695P	3	10	10	10	10	9	10	5	1
M21752F	3	3	2	3	3	2	7	5	2
M21775N	3	2	2	2	2	4	4	1	5
M21795S	3	8	8	9	7	5	8	6	3
M21810Y	3	3	4	4	2	5	1	10	1
M21834G	3	3	2	4	2	4	3	5	1
M21838L	3	8	8	8	9	10	9	1	5
M21849P	3	8	9	8	10	10	9	1	5
M21853K	3	5	5	5	4	8	7	2	4
M21854L	3	10	10	9	9	7	10	5	2
M21885T	3	2	2	2	2	3	1	9	1
M21897X	3	1	2	1	2	1	1	5	2
M21932H	3	3	3	4	4	2	1	8	1
M21942K	3	6	7	5	6	5	6	6	1
M21960M	3	9	7	9	10	9	7	4	1
M22011D	3	9	7	8	7	10	5	8	1
M22042L	3	10	10	10	10	10	10	3	2
M22058U	3	2	2	3	2	2	3	3	1
M22083V	3	9	7	9	9	10	9	7	1
M22118P	3	9	8	8	9	8	9	10	5
M22122K	3	3	4	2	2	2	2	7	1
M22135Q	3	9	10	10	9	8	10	1	5
M22138T	3	10	10	10	10	10	10	5	1
M22140M	3	7	6	8	8	9	8	1	5
M22142P	3	9	8	7	7	9	7	10	1
M22159Y	3	5	4	6	6	4	4	9	1
M22210J	3	2	2	2	1	1	1	6	1
M22237V	3	5	5	4	5	5	7	2	2
M22248Y	3	10	10	10	9	10	9	5	1
M22285D	3	8	9	6	8	7	8	4	1
M22287F	3	1	1	1	1	2	4	7	1
M22298J	3	4	4	4	3	5	1	10	1
M22357C	3	10	10	10	9	10	10	4	3
M22364B	3	6	5	6	5	6	9	7	1
M22429B	3	7	7	7	10	8	10	1	5
M22474G	3	6	6	6	4	7	8	3	2
M22502T	3	8	9	10	6	8	6	1	6
M22503U	3	8	6	8	9	6	6	6	2
M22537E	3	3	2	4	2	3	2	9	1
M22539G	3	3	3	2	3	6	8	5	2
M22543C	3	6	5	6	7	5	7	7	6
M22571G	3	4	4	5	8	8	2	1	6
M22603X	3	8	6	7	7	8	6	10	2
M22617D	3	2	2	2	5	2	2	10	1
M22629H	3	10	10	9	10	10	10	5	2
M22663K	3	9	10	7	7	10	10	5	1
M22690N	3	10	10	10	9	10	10	4	3
M22742H	3	4	5	3	6	5	5	2	5
