MCSID	FACTRY00	FIWIMDSC	FIWIMDIN	FIWIMDEM	FIWIMDHD	FIWIMDES	FIWIMDHO	FIWIMDCR	FIWIMDLE	FIWRURUR
M16463Q	2	1	1	1	2	1	6	7	9	4
M16530J	2	9	9	10	9	9	1	6	7	3
M16568Y	2	4	3	3	5	4	8	5	2	4
M16579B	2	7	6	4	8	7	9	4	6	4
M16638V	2	3	3	2	5	2	4	6	8	5
M16652T	2	5	4	6	7	4	5	2	9	4
M16687E	2	2	1	2	1	2	5	7	4	4
M16694D	2	3	2	2	2	5	6	3	9	4
M16703M	2	8	7	6	7	6	9	3	8	4
M16707R	2	4	3	3	5	4	5	6	2	4
M16742U	2	3	4	4	5	4	3	2	2	4
M16775D	2	7	5	6	5	6	8	6	7	4
M16778G	2	1	2	1	2	2	4	7	5	4
M16807U	2	9	10	9	9	9	2	8	6	6
M16810P	2	2	2	2	1	2	8	8	8	4
M16814T	2	3	2	3	4	2	4	5	4	4
M16815U	2	2	1	3	2	1	8	8	5	4
M16817W	2	9	8	8	10	6	7	7	2	4
M16825W	2	9	10	10	10	10	3	9	1	5
M16838B	2	9	8	8	8	9	6	10	2	4
M16843Y	2	7	6	4	8	7	9	4	6	4
M16851Y	2	9	10	10	5	9	3	10	6	4
M16855C	2	2	3	1	2	7	9	3	3	4
M16860Z	2	4	4	3	4	4	3	8	8	6
M16867G	2	9	7	7	8	6	9	7	8	4
M16876H	2	4	4	4	8	7	1	3	5	3
M16886K	2	5	6	5	5	6	5	2	3	4
M16891G	2	7	7	6	9	8	1	6	8	6
M16901R	2	2	2	1	3	2	9	5	2	4
M16905V	2	4	3	4	4	4	9	7	6	4
M16911T	2	4	4	3	4	4	3	8	7	5
M16918A	2	10	10	10	10	10	6	10	7	4
M16944C	2	3	3	3	6	2	4	7	8	4
M16951B	2	4	4	4	6	6	2	3	7	2
M16966J	2	10	10	10	9	10	3	10	10	5
M16975K	2	2	2	2	3	3	5	2	6	4
M16997R	2	10	10	10	5	9	5	8	5	5
M17008Z	2	3	2	3	2	3	9	1	4	4
M17011U	2	5	6	6	1	8	9	7	2	4
M17015Y	2	6	9	8	4	6	2	6	1	6
M17016Z	2	6	7	8	9	6	2	1	4	3
M17019C	2	6	8	7	7	7	1	4	5	3
M17021W	2	3	2	3	5	4	4	7	8	6
M17043C	2	2	2	2	3	4	7	1	10	4
M17087Q	2	8	7	8	9	7	1	8	9	6
M17097S	2	2	3	1	3	4	5	3	6	4
M17099U	2	4	4	4	2	5	6	8	4	4
M17108C	2	3	3	2	5	2	4	6	8	5
M17113Z	2	10	9	10	10	10	7	10	4	4
M17177R	2	10	10	9	10	10	4	10	5	5
M17222D	2	9	8	8	10	6	7	7	2	4
M17230D	2	8	9	9	9	8	1	8	5	6
M17263N	2	2	1	3	2	1	8	8	5	4
M17274R	2	2	2	2	3	1	9	1	1	4
M17334L	2	9	9	9	6	8	2	9	10	4
M17338Q	2	1	1	1	3	1	8	1	7	5
M17352N	2	2	3	4	4	1	4	1	5	4
M17361P	2	6	7	9	6	5	3	4	2	5
M17366U	2	2	2	2	2	1	9	2	6	4
M17375V	2	8	10	10	7	10	1	10	8	4
M17395Z	2	5	6	5	2	3	8	8	6	4
M17398C	2	7	8	9	3	8	3	8	8	5
M17400D	2	8	9	9	6	6	4	5	3	4
M17401E	2	2	2	5	3	2	4	3	1	4
M17414K	2	5	3	5	8	5	3	3	8	4
M17440M	2	9	10	9	7	10	3	10	3	6
M17497E	2	5	4	5	9	6	4	3	6	4
M17513M	2	10	10	10	10	10	6	10	8	4
M17539X	2	6	8	7	3	4	5	8	2	4
M17576C	2	2	2	2	2	1	9	2	6	4
M17584C	2	4	4	4	6	3	8	7	2	4
M17594E	2	3	3	3	3	2	9	9	2	4
M17623S	2	8	10	10	3	9	2	9	6	6
M17677G	2	6	7	7	3	5	2	6	9	6
M17699N	2	1	1	1	3	1	9	1	4	4
M17710Q	2	2	2	2	2	1	9	2	6	4
M17720S	2	7	9	7	4	5	3	8	6	5
M17733X	2	3	2	4	2	2	3	6	3	1
M17760A	2	8	8	10	9	8	2	4	3	6
M17763D	2	10	8	9	10	10	6	10	2	5
M17774G	2	7	5	7	10	4	3	6	5	5
M17780E	2	1	1	2	4	1	8	6	10	4
M17813W	2	8	7	6	7	6	9	3	8	4
M17855G	2	4	4	4	8	7	1	3	5	3
M17860D	2	6	6	7	6	6	2	5	3	5
M17867L	2	5	6	4	3	4	5	9	6	4
M17870F	2	10	10	10	10	9	8	10	10	4
M17875L	2	1	1	1	3	1	8	1	7	5
M17918E	2	4	3	4	3	4	5	6	8	5
M17933D	2	2	2	1	3	1	6	7	4	4
M17960G	2	1	1	3	3	1	9	1	5	4
M17961H	2	5	3	5	4	4	9	3	7	4
M18003Y	2	7	9	8	1	7	5	8	10	4
M18016D	2	2	3	3	2	2	2	3	2	4
M18017E	2	2	1	3	2	1	8	8	5	4
M18033E	2	5	4	5	4	7	9	3	6	4
M18063L	2	10	8	9	10	9	7	9	7	4
M18083Q	2	1	1	2	3	1	6	4	1	4
M18136L	2	5	3	5	4	4	9	3	7	4
M18138N	2	9	10	9	7	10	1	10	9	6
M18152L	2	2	2	2	2	2	8	4	4	4
M18188Y	2	8	6	7	7	9	4	5	9	4
M18224K	2	3	5	5	1	4	3	6	3	4
M18243N	2	3	2	4	2	2	3	6	3	1
M18259W	2	4	2	3	4	4	9	3	5	4
M18264T	2	2	2	3	2	1	8	9	7	4
M18273U	2	10	9	9	10	10	2	9	9	5
M18277Y	2	1	1	1	1	1	4	3	9	4
M18278Z	2	1	1	1	1	1	9	4	10	5
M18288B	2	3	3	4	3	5	5	1	10	5
M18290V	2	2	3	2	2	6	2	4	9	5
M18321K	2	9	7	7	9	9	4	8	6	2
M18331M	2	5	5	5	8	4	4	3	1	4
M18337T	2	1	1	1	1	1	9	5	8	4
M18339V	2	6	8	8	1	6	9	10	7	4
M18348W	2	2	2	1	3	1	6	7	4	4
M18361T	2	3	3	3	3	2	9	9	2	4
M18366Y	2	5	4	6	7	4	5	2	9	4
M18368A	2	10	10	10	7	10	3	10	5	5
M18371V	2	6	9	8	4	6	2	6	1	6
M18376A	2	1	1	1	4	1	7	2	2	4
M18378C	2	1	1	2	2	1	9	2	2	4
M18398G	2	9	7	8	6	9	9	4	9	4
M18410K	2	1	1	2	1	1	9	1	4	4
M18441S	2	7	7	8	8	7	1	5	10	3
M18443U	2	3	5	3	4	3	3	5	4	5
M18491C	2	10	9	9	10	10	4	8	3	5
M18494F	2	4	4	4	5	2	2	3	5	6
M18495G	2	9	7	8	4	10	9	5	9	4
M18507T	2	1	1	1	1	1	9	5	8	4
M18534W	2	2	2	2	2	2	8	4	4	4
M18542W	2	3	2	3	5	3	9	3	2	4
M18554A	2	10	9	10	10	8	3	8	4	5
M18555B	2	1	1	1	1	1	9	5	8	4
M18636B	2	1	1	1	1	1	9	1	3	4
M18648F	2	10	10	9	10	9	9	9	6	4
M18676K	2	9	6	9	8	7	8	9	5	5
M18713X	2	5	5	5	8	4	4	3	1	4
M18716A	2	3	4	4	3	2	2	7	5	4
M18737F	2	4	4	6	3	2	7	3	4	5
M18776N	2	9	7	7	9	6	9	6	4	4
M18787R	2	8	7	9	10	5	4	7	2	4
M18815C	2	1	2	1	2	2	4	7	5	4
M18817E	2	1	1	2	6	1	9	5	9	4
M18861J	2	3	2	4	2	2	3	6	3	1
M18882P	2	2	1	2	5	1	9	4	2	4
M18884R	2	7	7	8	6	9	2	3	8	6
M18894T	2	7	9	7	5	5	6	10	1	4
M18896V	2	3	2	3	5	4	4	7	8	6
M18923F	2	5	5	5	8	4	4	3	1	4
M18939P	2	1	1	1	1	1	4	3	9	4
M18951K	2	1	1	2	3	1	6	4	1	4
M19009J	2	7	7	6	3	9	8	6	7	4
M19053N	2	1	1	1	4	1	7	2	2	4
M19058T	2	10	10	8	10	10	3	10	4	4
M19081S	2	3	2	4	3	2	9	5	3	4
M19088Z	2	10	10	10	9	10	6	9	9	4
M19096Z	2	10	10	10	9	10	6	10	10	5
M19118N	2	2	1	3	5	2	3	2	7	4
M19122J	2	9	8	8	5	6	9	7	4	4
M19153R	2	1	1	2	1	1	9	1	4	4
M19154S	2	4	4	3	3	5	9	4	1	4
M19203J	2	4	6	4	2	4	4	7	1	4
M19233Q	2	8	9	9	6	6	4	5	3	4
M19299J	2	7	6	6	9	5	9	4	2	4
M19307R	2	7	7	7	5	7	3	8	5	4
M19309T	2	7	7	9	3	9	3	8	2	6
M19321P	2	2	2	1	7	1	9	3	7	4
M19334U	2	7	7	9	4	9	3	3	7	4
M19342U	2	10	9	10	8	9	5	6	8	6
M19372A	2	3	3	2	4	6	6	1	8	4
M19373B	2	1	1	2	7	1	9	3	9	4
M19387H	2	10	10	10	9	10	3	10	10	5
M19402P	2	5	3	5	8	5	7	4	3	4
M19447C	2	9	6	9	8	7	8	9	5	5
M19467G	2	7	6	6	9	5	9	4	2	4
M19473E	2	1	1	3	1	1	8	2	7	4
M19476H	2	7	7	6	6	5	7	6	8	4
M19525Z	2	1	1	1	2	1	7	2	2	4
M19535B	2	9	10	10	7	9	2	9	7	4
M19556G	2	6	6	4	7	7	4	7	2	4
M19567K	2	10	8	9	10	9	7	9	7	4
M19580G	2	9	10	10	10	9	1	7	3	6
M19587P	2	9	9	8	9	8	3	6	8	4
M19599T	2	8	6	9	9	7	3	4	5	4
M19624B	2	1	1	2	7	1	9	3	9	4
M19648K	2	3	3	2	5	2	4	6	8	5
M19661G	2	8	7	6	7	6	9	3	8	4
M19662H	2	2	2	2	1	2	8	8	8	4
M19677Q	2	2	2	2	2	2	3	6	8	4
M19678R	2	10	10	10	9	9	5	10	9	4
M19690M	2	4	3	5	4	5	5	2	7	4
M19704A	2	8	7	8	9	7	1	8	9	6
M19736J	2	3	2	2	9	4	5	1	4	2
M19764N	2	5	4	6	7	4	5	2	9	4
M19800Z	2	6	6	9	5	6	2	2	6	3
M19820D	2	10	9	9	9	8	8	9	7	4
M19850K	2	7	6	8	7	5	3	4	4	5
M19854P	2	9	9	9	6	8	2	9	10	4
M19867U	2	2	2	2	1	4	9	3	6	4
M19875U	2	10	9	9	9	8	8	9	7	4
M19909M	2	10	10	10	8	8	6	10	9	4
M19915K	2	9	8	9	10	9	2	5	7	3
M19922J	2	1	1	1	1	1	8	7	9	4
M19942N	2	5	5	6	3	6	3	3	8	4
M19947T	2	10	9	9	10	9	7	9	7	4
M19970S	2	3	2	4	3	2	9	5	3	4
M19972U	2	8	8	10	9	8	2	4	3	6
M19979B	2	5	6	7	5	4	4	4	1	4
M19980U	2	3	3	2	4	4	9	5	3	4
M19995B	2	10	8	7	9	10	8	9	8	4
M20007Z	2	2	2	2	2	2	8	4	4	4
M20008A	2	2	3	2	2	2	2	6	9	6
M20026C	2	4	3	2	3	7	9	5	10	4
M20036E	2	1	1	4	6	1	9	1	1	4
M20037F	2	2	2	1	6	3	5	2	4	4
M20041B	2	6	6	6	7	6	2	2	7	6
M20042C	2	1	1	1	3	1	8	1	7	5
M20062G	2	9	6	9	8	7	8	9	5	5
M20082L	2	4	4	3	4	4	3	8	7	5
M20096S	2	2	2	3	2	1	8	9	7	4
M20111Y	2	7	6	6	9	6	8	3	1	4
M20125E	2	4	3	3	9	4	6	2	3	4
M20138K	2	4	5	4	3	6	2	6	6	4
M20157N	2	5	4	4	8	3	7	7	9	4
M20163L	2	2	2	1	6	3	5	2	4	4
M20200Y	2	4	7	9	1	8	9	2	1	4
M20223F	2	8	7	8	10	5	8	6	2	4
M20236L	2	6	6	5	8	8	2	2	7	2
M20251K	2	7	10	9	10	8	1	6	7	6
M20259T	2	10	9	9	10	10	2	9	9	5
M20265R	2	10	10	10	10	10	5	9	3	4
M20292U	2	3	3	3	6	2	4	7	8	4
M20311E	2	4	3	4	5	3	8	1	10	5
M20313G	2	10	10	10	8	8	6	10	9	4
M20345Q	2	2	3	3	2	2	2	3	2	4
M20362R	2	10	10	10	10	10	9	10	7	4
M20394Z	2	7	7	8	3	6	3	7	9	5
M20415M	2	4	5	5	4	5	2	3	2	6
M20442Q	2	6	7	8	2	5	3	2	5	4
M20447V	2	2	3	3	2	2	2	3	2	4
M20450Q	2	2	2	5	4	1	4	7	1	4
M20459Z	2	7	6	4	8	7	9	4	6	4
M20468A	2	4	3	4	5	3	8	1	10	5
M20474Y	2	10	10	10	9	10	6	9	9	4
M20476A	2	2	3	2	2	2	2	6	9	6
M20509S	2	8	7	6	9	6	5	6	10	4
M20511L	2	10	9	7	7	9	8	9	10	4
M20532R	2	9	10	9	5	8	6	6	5	4
M20545W	2	8	7	9	6	4	9	7	2	4
M20546X	2	9	7	8	10	7	4	4	8	5
M20564Z	2	9	6	9	7	8	7	8	8	4
M20575C	2	6	6	5	7	8	2	3	9	3
M20576D	2	2	2	2	4	3	6	5	5	5
M20586F	2	2	2	3	3	1	8	3	10	4
M20589J	2	3	5	5	1	4	3	6	3	4
M20602N	2	4	3	3	9	4	6	2	3	4
M20609V	2	10	10	10	10	10	3	8	5	4
M20614S	2	3	3	3	2	4	7	4	9	4
M20629Z	2	7	10	9	10	8	1	6	7	6
M20630S	2	4	4	5	7	4	1	1	8	6
M20640U	2	10	10	10	10	10	9	8	7	4
M20644Y	2	7	5	7	7	4	6	4	10	4
M20649D	2	9	9	10	9	9	2	9	10	6
M20665D	2	10	10	10	10	10	7	10	3	4
M20678J	2	3	4	2	4	4	4	6	9	6
M20688L	2	2	1	3	5	2	3	2	7	4
M20691F	2	10	10	10	9	10	7	9	8	4
M20708X	2	9	10	7	9	6	7	10	2	4
M20723W	2	3	3	4	5	1	5	2	8	4
M20734Z	2	4	5	4	3	6	2	6	6	4
M20744B	2	6	6	5	9	6	3	3	5	2
M20745C	2	9	8	9	10	9	2	5	7	3
M20750Z	2	4	4	3	4	4	3	8	7	5
M20765G	2	4	3	4	4	4	9	7	6	4
M20768K	2	2	1	2	3	2	6	2	10	4
M20770D	2	10	10	10	6	10	4	10	7	5
M20779N	2	6	6	3	6	5	6	7	6	4
M20794M	2	3	2	4	2	2	9	5	2	4
M20802U	2	3	2	4	3	2	9	5	3	4
M20816A	2	8	7	9	6	5	4	4	9	4
M20818C	2	9	7	7	9	6	9	6	4	4
M20819D	2	10	10	10	9	10	6	9	9	4
M20822Y	2	2	1	2	5	1	9	4	2	4
M20828E	2	7	8	8	6	5	5	6	2	5
M20837F	2	8	8	7	9	8	2	9	4	4
M20841B	2	4	4	4	5	2	2	3	5	6
M20848J	2	7	7	8	3	8	7	6	3	4
M20883M	2	4	4	6	7	2	5	6	1	1
M20887R	2	6	7	8	2	5	3	2	5	4
M20897T	2	4	4	4	8	7	1	3	5	3
M20902X	2	6	4	5	8	8	3	3	9	4
M20910X	2	2	2	1	2	3	6	5	10	4
M20918F	2	5	4	5	7	3	5	4	10	5
M20927G	2	10	8	8	10	8	9	6	4	4
M20939L	2	7	7	8	8	7	1	5	10	3
M20944H	2	3	2	2	8	1	7	5	4	4
M20952H	2	5	4	5	4	7	9	3	6	4
M21009F	2	1	1	1	1	1	6	4	5	4
M21036J	2	8	8	7	9	8	2	9	4	4
M21038L	2	4	4	4	5	3	6	5	1	4
M21056N	2	2	3	2	2	4	6	7	6	4
M21061K	2	10	9	10	8	9	5	6	8	6
M21065P	2	2	2	1	3	1	6	7	4	4
M21072N	2	8	7	8	9	7	1	8	9	6
M21091R	2	2	2	2	2	3	5	8	6	6
M21135L	2	9	9	9	6	8	2	9	10	4
M21156R	2	3	3	3	8	2	5	7	3	4
M21200C	2	1	1	2	1	2	7	5	10	4
M21215K	2	5	4	5	9	6	2	1	8	5
M21219P	2	2	2	2	1	2	8	8	8	4
M21235P	2	3	2	3	4	2	5	5	9	5
M21282W	2	4	4	4	6	3	8	7	2	4
M21326R	2	1	1	1	1	1	9	3	7	5
M21330M	2	7	7	6	6	5	7	6	8	4
M21332P	2	6	6	6	8	7	2	2	9	6
M21355W	2	4	4	4	2	5	6	8	4	4
M21375A	2	10	10	10	10	10	5	10	3	4
M21377C	2	10	8	9	10	9	9	6	9	4
M21381Y	2	10	10	10	8	10	9	2	9	4
M21384B	2	5	6	6	5	7	1	4	7	3
M21388F	2	2	2	2	6	2	9	3	1	4
M21391A	2	2	2	2	5	3	4	2	4	4
M21412N	2	7	5	7	7	4	6	4	10	4
M21419V	2	8	7	8	7	6	7	8	5	4
M21429X	2	6	6	4	7	7	4	7	2	4
M21435V	2	3	3	6	2	3	9	1	3	4
M21467D	2	5	6	6	8	2	7	1	9	4
M21577J	2	7	6	6	4	10	4	9	8	4
M21581E	2	1	2	1	1	2	8	4	6	4
M21582F	2	2	2	2	2	2	8	4	4	4
M21584H	2	5	5	3	5	9	7	8	4	4
M21585J	2	8	7	8	9	7	1	8	9	6
M21587L	2	7	6	7	7	4	9	4	2	4
M21639F	2	6	9	8	4	6	2	6	1	6
M21660C	2	2	2	4	2	2	6	1	7	4
M21698S	2	10	10	10	10	10	6	10	8	4
M21714Z	2	2	3	2	2	4	7	3	5	4
M21717C	2	4	3	3	3	4	5	8	4	4
M21758M	2	2	2	1	6	3	5	2	4	4
M21763J	2	7	7	8	9	7	2	3	9	6
M21766M	2	2	2	5	4	1	4	7	1	4
M21780K	2	2	1	2	2	2	9	4	6	4
M21784P	2	10	10	10	7	10	7	10	8	4
M21823D	2	3	2	3	5	4	4	7	8	6
M21831D	2	4	4	4	6	3	8	7	2	4
M21863M	2	9	7	8	7	7	9	8	3	4
M21872N	2	9	9	8	6	10	4	10	9	4
M21875R	2	3	2	4	4	3	8	5	2	4
M21887V	2	10	10	10	10	9	5	10	3	4
M21911C	2	4	4	3	2	6	4	6	6	4
M21914F	2	10	10	9	10	10	4	10	5	5
M21922F	2	9	7	8	7	7	9	8	3	4
M21952M	2	9	7	7	9	10	4	9	9	4
M21954P	2	6	5	7	6	7	5	2	3	4
M21957S	2	5	5	4	6	5	9	6	1	4
M21968V	2	8	7	9	6	4	9	7	2	4
M22004E	2	7	7	7	8	3	7	6	4	4
M22017K	2	6	9	8	4	6	2	6	1	6
M22025K	2	2	1	3	5	2	3	2	7	4
M22026L	2	8	9	6	4	9	6	9	6	4
M22047R	2	1	1	1	2	1	7	2	2	4
M22060N	2	3	3	4	6	1	9	1	9	4
M22063R	2	4	5	4	3	6	2	6	6	4
M22067V	2	7	7	8	6	5	9	5	1	4
M22100D	2	7	9	8	1	7	5	8	10	4
M22103G	2	6	8	7	3	4	5	8	2	4
M22123L	2	6	8	8	3	5	3	6	2	5
M22130K	2	10	10	10	10	10	6	10	4	4
M22144R	2	2	2	1	3	1	6	7	4	4
M22149W	2	7	7	8	6	9	2	3	8	6
M22177A	2	3	3	6	2	3	9	1	3	4
M22181W	2	4	3	4	3	4	5	6	8	5
M22188D	2	6	5	5	4	6	6	7	7	4
M22216Q	2	2	3	2	2	6	2	4	9	5
M22219T	2	1	1	1	1	1	4	3	9	4
M22222N	2	9	8	8	10	6	7	7	2	4
M22267B	2	6	5	7	5	2	9	9	8	4
M22272Y	2	5	5	9	9	3	4	2	1	4
M22283B	2	5	3	5	4	4	9	3	7	4
M22286E	2	10	10	10	9	9	5	10	9	4
M22295F	2	10	9	9	8	9	3	8	10	4
M22296G	2	4	4	4	4	5	9	1	8	5
M22300K	2	2	3	2	1	3	9	5	6	4
M22361Y	2	2	2	2	2	3	5	8	6	6
M22418Y	2	9	9	8	9	8	5	10	4	4
M22427Z	2	1	1	1	3	1	6	7	3	4
M22437B	2	5	2	6	9	3	7	8	4	4
M22446C	2	1	1	2	1	2	7	2	3	4
M22448E	2	4	3	4	2	3	9	7	5	5
M22450Y	2	7	8	7	5	4	5	9	3	4
M22464E	2	10	10	10	8	8	6	10	9	4
M22470C	2	3	2	3	5	4	4	7	8	6
M22472E	2	10	10	10	10	10	9	10	6	4
M22478L	2	1	1	1	4	1	7	2	2	4
M22482G	2	9	9	10	9	9	2	9	10	6
M22511U	2	4	5	4	3	6	2	6	6	4
M22576M	2	5	5	4	4	4	8	8	2	4
M22581J	2	2	2	3	3	1	4	3	4	4
M22586P	2	7	7	10	9	2	7	2	3	4
M22602W	2	9	8	8	5	6	9	7	4	4
M22611X	2	8	6	9	9	7	3	4	5	4
M22640C	2	3	2	4	7	3	9	2	1	4
M22654J	2	9	10	9	7	4	5	6	10	4
M22722D	2	9	10	9	7	10	1	9	5	6
M22725G	2	5	4	6	7	3	6	5	9	4
M22730D	2	8	6	6	10	7	5	8	6	4
M22734H	2	8	7	8	5	9	5	5	5	4
M22760K	2	2	3	3	2	2	2	3	2	4
M22796X	2	5	6	6	1	8	9	7	2	4
M22810C	2	10	10	10	10	10	2	10	8	4
M22828N	2	7	7	7	5	7	3	8	5	4
M22852N	2	1	2	1	2	2	4	7	5	4
M22865T	2	4	3	4	3	4	5	6	8	5
M22866U	2	4	4	4	5	3	6	5	1	4
M22887Z	2	4	4	4	5	2	2	3	5	6
M22894Y	2	4	2	3	4	4	9	3	5	4
M22927Q	2	6	7	8	2	5	3	2	5	4
M22939U	2	1	1	2	2	1	9	2	2	4
M22955U	2	6	6	5	5	4	5	8	7	4
M22959Y	2	3	2	2	2	5	6	3	9	4
M22966X	2	9	7	6	8	10	7	7	8	4
M22990X	2	9	7	8	7	7	9	8	3	4
M22993A	2	7	7	7	9	8	2	2	7	3
M23029T	2	9	8	9	10	9	2	5	7	3
M23040N	2	3	3	2	5	2	4	6	8	5
M23047V	2	2	2	2	2	2	3	6	8	4
M23091Z	2	2	2	2	4	2	4	4	6	5
M23098G	2	9	9	10	9	9	2	9	10	6
M23126T	2	8	7	7	9	7	5	6	3	5
M23131Q	2	5	5	5	10	8	1	2	5	3
M23140R	2	3	2	2	8	1	7	5	4	4
M23162X	2	3	2	3	5	4	4	7	8	6
M23176D	2	2	1	2	4	3	6	7	3	4
M23224U	2	1	1	1	1	1	9	5	8	4
M23238A	2	8	7	6	9	6	5	6	10	4
M23242W	2	10	10	10	10	10	4	10	6	5
M23256C	2	3	3	3	4	4	6	8	2	5
M23267F	2	6	4	4	8	6	9	6	5	4
M23273D	2	4	4	3	5	3	8	8	4	4
M23285H	2	1	1	3	5	1	8	1	1	4
M23293H	2	10	8	9	10	9	7	9	7	4
M23303S	2	10	10	10	7	10	3	10	5	5
M23304T	2	10	10	10	9	9	5	10	9	4
M23308X	2	3	2	2	5	3	7	2	4	4
M23317Y	2	9	9	10	9	9	2	9	10	6
M23349G	2	10	10	10	7	10	7	10	8	4
M23351A	2	6	6	4	7	7	4	7	2	4
M23384K	2	10	10	10	9	9	9	10	1	4
M23415Z	2	1	1	1	1	1	9	8	5	4
M23447H	2	10	9	9	7	10	9	9	9	4
M23452E	2	2	2	1	2	3	6	5	10	4
M23475M	2	2	2	2	4	2	4	4	6	5
M23478Q	2	7	7	8	7	8	1	4	9	3
M23496S	2	1	1	1	4	1	9	1	3	4
M23498U	2	8	6	9	9	7	3	4	5	4
M23508D	2	7	7	8	3	8	7	6	3	4
M23520Z	2	4	4	3	4	4	3	8	7	5
M23529J	2	2	2	2	2	2	3	6	8	4
M23547L	2	9	10	9	7	4	5	6	10	4
M23556M	2	1	1	2	4	1	9	1	2	4
M23563L	2	8	9	9	9	8	1	8	5	6
M23579U	2	7	7	8	9	7	2	3	9	6
M23581N	2	5	3	5	8	5	3	3	8	4
M23598X	2	2	1	2	5	1	9	4	2	4
M23601Z	2	10	10	10	9	10	3	10	10	4
M23656Q	2	10	10	10	9	9	5	10	9	4
M23689Z	2	2	3	2	1	5	7	2	1	4
M23722H	2	10	9	9	7	10	9	9	3	5
M23798D	2	4	4	3	5	3	9	2	4	4
M23836S	2	4	7	7	2	4	2	3	5	4
M23857X	2	1	1	1	2	1	7	1	1	4
M23858Y	2	1	1	1	4	1	7	2	2	4
M23873X	2	8	9	9	9	8	1	8	5	6
M23889F	2	10	10	10	7	6	6	7	5	4
M23893B	2	5	4	6	7	3	6	5	9	4
M23914P	2	3	2	4	5	2	4	7	6	4
M23928V	2	3	3	3	3	2	9	9	2	4
M23977E	2	10	9	9	9	8	8	9	7	4
M23980Z	2	1	1	1	1	1	9	5	8	4
M24011M	2	6	5	6	5	5	9	4	2	4
M24020N	2	7	8	6	8	7	3	9	3	4
M24033T	2	10	9	7	7	9	8	9	10	4
M24040S	2	6	9	8	4	6	2	6	1	6
M24069F	2	9	7	8	10	8	7	3	10	4
M24081B	2	1	1	1	3	1	6	7	3	4
M24119Y	2	3	2	4	2	2	9	5	2	4
M24128Z	2	3	3	2	2	5	4	4	10	5
M24158F	2	10	9	9	8	9	3	8	10	4
M24160Z	2	9	9	10	10	9	2	7	6	3
M24171C	2	8	10	9	3	10	2	10	6	5
M24188M	2	3	3	2	4	6	6	1	8	4
M24226A	2	9	7	7	10	9	6	3	9	5
M24243B	2	3	4	2	4	4	4	6	9	6
M24274J	2	3	2	4	3	2	9	5	3	4
M24275K	2	6	7	7	3	5	2	6	9	6
M24290J	2	9	9	9	7	9	5	9	1	4
M24344F	2	5	5	4	4	4	7	4	9	4
M24407D	2	4	5	5	4	2	7	1	5	4
M24425F	2	9	7	7	9	6	9	6	4	4
M24440E	2	5	5	4	4	4	9	6	5	4
M24458Q	2	6	7	8	5	10	1	8	10	6
M24468S	2	1	1	1	2	1	7	2	2	4
M24473P	2	5	5	6	3	3	9	4	7	4
M24477T	2	5	6	5	2	3	8	8	6	4
M24518K	2	7	8	5	8	10	1	9	7	4
M24565S	2	9	9	9	9	8	2	6	8	5
M24574T	2	3	3	2	5	2	4	6	8	5
M24590T	2	2	2	2	3	4	7	1	10	4
M24598B	2	9	9	10	9	9	2	9	10	6
M24621H	2	9	9	9	7	9	5	9	1	4
M24622J	2	1	1	1	2	1	7	2	2	4
M24635P	2	4	4	3	4	4	3	8	7	5
M24636Q	2	6	9	8	4	6	2	6	1	6
M24662S	2	8	6	6	10	7	5	8	6	4
M24689D	2	7	7	8	3	8	7	6	3	4
M24724P	2	7	5	6	10	8	2	8	5	5
M24739W	2	6	9	5	4	7	8	9	1	4
M24742R	2	7	8	8	8	9	1	2	7	3
M24755W	2	1	1	1	2	1	8	7	7	4
M24775A	2	1	1	3	1	1	8	2	7	4
M24780X	2	9	10	9	7	4	5	6	10	4
M24808S	2	7	8	9	10	9	1	3	5	3
M24813P	2	6	9	8	4	6	2	6	1	6
M24824S	2	4	3	4	4	4	9	7	6	4
M24903Q	2	4	5	3	2	4	5	6	3	4
M24914T	2	3	4	5	1	6	9	5	2	4
M24923U	2	10	9	8	10	10	7	10	8	5
M24926X	2	3	2	3	4	2	4	5	4	4
M24927Y	2	9	10	9	7	10	3	10	2	4
M24932V	2	1	1	1	1	1	7	1	1	4
M24947C	2	6	8	7	3	4	5	8	2	4
M24979L	2	3	4	3	5	3	3	7	2	4
M25007V	2	8	6	7	10	10	4	8	4	4
M25040W	2	3	3	3	6	2	4	7	8	4
M25043Z	2	6	6	5	9	6	3	3	5	2
M25058G	2	6	6	4	7	7	4	7	2	4
M25061B	2	5	6	4	2	5	9	7	7	4
M25082G	2	5	6	5	2	6	5	8	3	4
M25086L	2	8	8	6	7	4	5	10	8	4
M25101S	2	1	2	1	1	3	9	4	3	4
M25118B	2	5	5	6	4	5	2	5	7	5
M25130X	2	5	4	6	7	3	6	5	9	4
M25133A	2	9	8	9	10	9	2	5	7	3
M25152D	2	3	4	4	3	2	2	7	5	4
M25164H	2	3	3	2	2	2	6	7	9	4
M25205Z	2	3	3	2	4	6	6	1	8	4
M25219F	2	3	2	3	2	3	9	1	4	4
M25221Z	2	1	1	1	3	1	6	7	3	4
M25231B	2	9	7	7	9	6	9	6	4	4
M25244G	2	7	6	7	7	4	9	4	2	4
M25258N	2	1	1	1	3	1	6	7	3	4
M25288U	2	7	7	8	9	7	2	3	9	6
