MCSID	FACTRY00	FAREGN00	FDRSPO00	FDMINT00	FDPINT00	FDHTYP00	FDHTYS00	FDRELP00	FDNATM00	FDMINH00	FDNATF00	FDFINH00	FDOTHS00	FDNOCM00	FDTOTS00	FDNSIB00	FDHSIB00	FDSSIB00	FDASIB00	FDFSIB00	FDGPAR00	FDOTHA00	FDNUMH00	FDTOTP00	FDHLAN00	FDROOW00	FDCWRK00	FOEDE000	FOEDP000	FOECDUK0	FOECDSC0
M10002P	2	10	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	3	-1	1	466.09	0	4	4
M10007U	2	10	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	509.59	0	4	4
M10015U	1	9	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	567.63	0	5	5
M10016V	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	6	1	351.08	0	3	3
M10018X	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	721.17	0	5	5
M10020R	1	2	4	1	4	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	604.55	0	5	5
M10021S	1	1	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	1	5	387.39	0	3	3
M10022T	1	5	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	3	156.38	1	1	1
M10029A	1	1	1	1	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	2	3	1	6	6	226.22	1	2	2
M10034X	1	5	2	1	1	1	1	2	1	1	1	1	3	1	4	1	1	2	2	2	2	2	5	6	1	2	3	361.52	0	3	3
M10039C	2	10	1	1	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	2	3	1	4	6	201.77	1	1	1
M10041W	1	1	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	1	297.27	0	2	2
M10042X	2	10	1	1	4	15	2	-1	4	2	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	6	5	214.72	1	1	1
M10043Y	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	232.03	1	2	2
M10044Z	4	12	4	1	4	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	4	3	228.1	1	2	2
M10046B	1	7	4	1	4	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	613.39	0	5	5
M10054B	2	10	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	557.84	0	5	5
M10056D	1	7	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	4	4	6	139.84	1	1	1
M10057E	1	5	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	516.79	0	4	4
M10060Z	1	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	674.82	0	5	5
M10062B	4	12	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	1	348.47	0	3	3
M10063C	1	3	3	1	2	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	2	1	1	335.58	0	3	3
M10064D	1	7	1	1	4	15	2	-1	1	1	4	2	3	1	4	1	2	2	2	1	2	2	4	5	1	5	5	275.74	1	2	2
M10068H	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	422.62	0	4	4
M10069J	1	7	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	4	5	3	229.8	1	2	2
M10071C	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	4	5	1	2	1	431.03	0	4	4
M10073E	1	8	2	1	1	2	1	1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	3	4	1	6	3	477.45	0	4	4
M10074F	1	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	513.03	0	4	4
M10079L	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	646.74	0	5	5
M10082F	1	5	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	6	5	312.49	0	3	3
M10083G	4	12	4	1	4	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	1	1	421.06	0	4	4
M10088M	1	6	3	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	552.79	0	4	4
M10089N	1	6	2	1	1	2	1	2	1	1	4	2	1	1	2	2	1	2	2	2	2	2	3	4	1	6	4	410.69	0	3	3
M10091G	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	596.89	0	5	5
M10095L	2	10	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	4	2	1	513.98	0	4	4
M10096M	3	11	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	10	1	576.46	0	5	4
M10100Q	3	11	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	2	440.3	0	4	3
M10105V	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	736.24	0	5	5
M10106W	1	9	2	1	1	5	1	2	3	3	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	4	1	321.37	0	3	3
M10107X	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	1	1	709.96	0	5	5
M10109Z	1	8	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	2	464.75	0	4	4
M10113V	4	12	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	3	364.18	0	3	4
M10114W	1	2	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	1	2	3	4	1	6	1	486.19	0	4	4
M10115X	1	8	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	1	2	3	4	3	2	1	869.12	0	5	5
M10116Y	1	9	2	1	1	2	1	1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	2	3	1	2	1	523.69	0	4	4
M10120U	2	10	4	1	4	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	1	2	6	7	5	1	3	379.6	0	3	3
M10122W	1	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	4	5	4	2	1	351.82	0	3	3
M10125Z	1	2	2	1	1	2	1	2	1	1	4	2	1	1	2	2	1	2	2	2	2	2	3	4	1	2	1	587.86	0	5	5
M10126A	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	697.11	0	5	5
M10127B	1	8	1	1	4	16	2	-1	4	2	1	1	1	1	2	1	2	2	2	2	2	2	2	3	1	5	5	290.18	0	2	2
M10128C	1	4	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	447.28	0	4	4
M10130W	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	4	5	1	2	1	641.52	0	5	5
M10131X	1	3	3	1	2	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	1	4	5	3	4	2	255.93	1	2	2
M10132Y	1	7	1	1	4	15	2	-1	1	1	3	3	2	1	3	1	2	2	2	2	2	2	3	4	1	2	5	305.8	0	2	3
M10134A	4	12	1	1	4	16	2	-1	4	2	1	1	0	1	1	2	2	2	2	2	2	2	1	2	1	2	5	312.3	0	3	3
M10136C	1	1	4	1	4	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	6	7	1	6	3	175.68	1	1	1
M10137D	1	2	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	1	2	6	7	1	5	2	248.55	1	2	2
M10139F	1	6	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	5	1	286.32	0	2	2
M10143B	2	10	2	1	1	2	1	2	1	1	4	2	2	1	3	2	1	2	2	2	2	2	4	5	1	6	3	345.26	0	3	3
M10144C	1	7	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	1	2	5	523.63	0	4	4
M10146E	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	539.01	0	4	5
M10149H	1	8	1	1	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	2	3	1	4	6	238.86	1	2	2
M10153D	4	12	4	1	4	1	1	1	1	1	1	1	3	1	4	1	1	2	2	2	2	2	5	6	1	2	3	195.43	1	1	1
M10154E	3	11	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	2	1	796.53	0	5	5
M10157H	2	10	2	1	1	1	1	1	1	1	2	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	3	395.18	0	3	3
M10161D	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	2	2	1	2	5	6	1	2	1	364.6	0	3	3
M10164G	1	3	2	1	1	2	1	2	1	1	4	2	3	1	4	1	1	2	2	2	2	2	5	6	1	6	1	323.9	0	3	3
M10168L	1	1	2	1	1	2	1	2	1	1	4	2	2	1	3	1	2	1	2	2	2	2	4	5	1	2	1	366.54	0	3	3
M10171F	4	12	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	401.79	0	3	4
M10172G	1	2	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	611.03	0	5	5
M10173H	1	9	4	1	4	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	1	449.02	0	4	4
M10174J	1	9	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	529.25	0	4	4
M10175K	2	10	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	440.87	0	4	4
M10176L	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	766	0	5	5
M10177M	1	8	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	2	1	621.78	0	5	5
M10180G	1	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	2	487.98	0	4	4
M10181H	1	8	1	1	4	15	2	-1	1	1	4	2	3	1	4	2	1	2	2	2	2	2	4	5	1	4	5	243.39	1	2	2
M10185M	1	7	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	2	2	2	2	4	5	1	5	1	370.73	0	3	3
M10189R	1	3	4	1	4	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	4	2	3	135.91	1	1	1
M10191K	2	10	2	1	1	2	1	2	1	1	4	2	3	1	4	1	1	2	2	2	2	2	5	6	1	2	3	320.07	0	3	3
M10193M	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	659.43	0	5	5
M10194N	1	7	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	823.68	0	5	5
M10195P	4	12	2	1	1	2	1	2	1	1	4	2	3	1	4	1	2	2	2	2	2	2	5	6	1	1	1	260.41	1	2	2
M10197R	1	8	1	1	4	16	2	-1	4	2	1	1	0	1	1	2	2	2	2	2	1	1	4	5	1	7	5	306.29	0	2	3
M10200T	2	10	2	1	1	6	1	2	4	2	1	1	3	1	4	1	2	2	2	2	2	1	7	8	1	6	1	387.57	0	3	3
M10205Y	3	11	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	433.27	0	4	3
M10206Z	2	10	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	5	1	278.1	1	2	2
M10210V	1	8	2	1	1	3	1	2	1	1	4	2	3	1	4	1	2	2	2	2	2	1	5	6	1	4	3	240.53	1	2	2
M10211W	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	2	2	1	2	5	6	4	2	1	468.12	0	4	4
M10213Y	1	8	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	4	2	431.05	0	4	4
M10215A	1	8	3	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	777.23	0	5	5
M10217C	1	1	2	1	1	1	1	2	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	4	4	230.11	1	2	2
M10220X	2	10	3	1	2	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	753.37	0	5	5
M10223A	2	10	2	1	1	2	1	1	1	1	4	2	2	1	3	1	1	2	2	2	1	2	5	6	1	2	1	322.9	0	3	3
M10224B	3	11	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	1	1	604.69	0	5	5
M10225C	1	7	1	1	4	16	2	-1	3	3	1	1	1	2	3	1	2	2	2	2	2	2	2	4	1	2	5	275.34	1	2	2
M10226D	1	6	2	1	1	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	1	1	708.28	0	5	5
M10227E	1	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	617.61	0	5	5
M10229G	1	5	4	1	4	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	6	7	2	6	3	194.99	1	1	1
M10231A	1	2	1	1	4	16	2	-1	4	2	1	1	2	1	3	1	2	2	2	2	2	2	3	4	1	2	5	349.05	0	3	3
M10234D	1	7	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	7	8	4	2	1	596.25	0	5	5
M10237G	1	2	4	1	4	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	1	3	719.25	0	5	5
M10238H	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	423.39	0	4	4
M10239J	1	9	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	1	1	407.66	0	3	3
M10244F	2	10	1	1	4	15	2	-1	1	1	4	2	3	1	4	1	2	2	2	2	2	2	4	5	2	6	5	225.37	1	2	2
M10246H	4	12	2	1	1	3	1	2	1	1	4	2	2	1	3	1	2	2	2	2	2	1	4	5	1	6	1	293.59	0	2	3
M10247J	1	8	2	1	1	3	1	2	1	1	4	2	2	1	3	1	1	2	2	2	2	1	4	5	1	2	1	633.94	0	5	5
M10249L	1	7	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	5	5	285.79	0	2	2
M10250D	2	10	1	1	4	15	2	-1	1	1	4	2	1	1	2	2	1	2	2	2	2	1	4	5	1	10	6	176.75	1	1	1
M10252F	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	717.13	0	5	5
M10254H	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	602.31	0	5	5
M10255J	1	6	1	1	4	15	2	-1	1	1	4	2	0	2	2	2	2	2	2	2	2	2	1	3	1	6	5	317.97	0	3	3
M10256K	3	11	1	1	4	16	2	-1	4	2	1	1	1	1	2	1	2	2	2	2	2	2	2	3	1	4	6	194.14	1	1	1
M10258M	3	11	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	4	353.83	0	3	2
M10261G	2	10	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	552.02	0	4	5
M10262H	1	9	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	6	5	297.61	0	2	2
M10263J	1	2	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	1	2	2	2	2	3	4	1	2	5	236.8	1	2	2
M10264K	3	11	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	480.64	0	4	4
M10266M	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	701.85	0	5	5
M10270H	1	9	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	6	5	237.01	1	2	2
M10273L	1	3	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	2	1	633.71	0	5	5
M10274M	2	10	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	669.57	0	5	5
M10278R	1	7	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	4	2	3	510.49	0	4	4
M10279S	1	2	4	1	4	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	1	1	480.3	0	4	4
M10282M	1	4	3	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	3	211.09	1	1	1
M10289U	1	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5	1	2	1	625.23	0	5	5
M10296T	1	3	2	1	1	2	1	2	1	1	4	2	4	1	5	2	1	2	2	2	2	2	6	7	1	5	4	138.08	1	1	1
M10298V	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	631.92	0	5	5
M10300W	1	9	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	-1	1	420.74	0	4	3
M10313B	4	12	2	1	1	2	1	1	1	1	4	2	3	1	4	1	1	2	2	2	2	2	5	6	1	2	1	412.51	0	3	4
M10314C	1	6	4	1	4	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	1	1	651.12	0	5	5
M10315D	1	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	475.3	0	4	4
M10316E	1	2	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	334.65	0	3	3
M10318G	1	2	3	1	2	2	1	2	1	1	4	2	1	1	2	1	2	2	2	2	2	2	3	4	1	5	1	268.8	1	2	2
M10319H	1	6	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	1	3	887.75	0	5	5
M10320A	1	2	2	1	1	1	1	1	1	1	1	1	2	1	3	2	2	2	1	2	2	2	4	5	1	2	1	621.83	0	5	5
M10322C	1	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	745.06	0	5	5
M10324E	3	11	2	1	1	1	1	2	1	1	1	1	3	1	4	1	1	2	2	2	2	2	5	6	1	4	4	242.66	1	2	1
M10328J	1	4	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	585.65	0	5	5
M10330C	1	8	2	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	1	4	5	1	1	3	780.12	0	5	5
M10331D	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	603.99	0	5	5
M10335H	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	699.8	0	5	5
M10342G	1	6	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	589.14	0	5	5
M10346L	1	3	2	1	1	1	1	2	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	6	4	161.8	1	1	1
M10348N	1	6	8	2	3	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	4	-1	2	204.32	1	1	1
M10349P	4	12	1	1	4	15	2	-1	1	1	4	2	4	1	5	1	2	2	2	2	2	2	5	6	1	5	6	216.34	1	1	2
M10350G	1	7	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	2	2	1	866.11	0	5	5
M10351H	1	9	4	1	4	2	1	1	1	1	4	2	1	1	2	2	1	2	2	2	2	2	3	4	1	2	1	616.1	0	5	5
M10355M	1	3	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	4	1	3	145.79	1	1	1
M10356N	2	10	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	1	2	3	4	1	7	5	296.95	0	2	2
M10357P	1	6	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	3	2	3	206.19	1	1	1
M10359R	1	3	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	2	5	456.56	0	4	4
M10362L	2	10	1	1	4	16	2	-1	4	2	1	1	0	2	2	2	2	2	2	2	2	2	1	3	1	4	5	181.59	1	1	1
M10363M	1	9	2	1	1	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	2	3	1	2	1	645.88	0	5	5
M10364N	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	3	347.97	0	3	3
M10366Q	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	709.45	0	5	5
M10367R	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	901.82	0	5	5
M10372N	1	7	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	3	1	2	351.72	0	3	3
M10373P	1	1	4	1	4	3	1	2	1	1	4	2	0	1	1	2	2	2	2	2	2	1	2	3	1	6	1	321.46	0	3	3
M10374Q	1	7	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	670.92	0	5	5
M10375R	2	10	4	1	4	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	5	4	268.86	1	2	2
M10377T	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	448.17	0	4	4
M10379V	4	12	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	6	5	231.08	1	2	2
M10385T	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	713.05	0	5	5
M10387V	2	10	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	3	360.22	0	3	3
M10390Q	1	6	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	1	2	5	263	1	2	2
M10392S	1	4	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	653.15	0	5	5
M10393T	1	2	1	1	4	15	2	-1	1	1	4	2	5	1	6	1	2	2	2	2	2	2	6	7	1	5	6	144.11	1	1	1
M10394U	3	11	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	1	2	6	7	1	2	1	757.58	0	5	5
M10395V	3	11	3	1	2	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	5	4	192.25	1	1	1
M10396W	2	10	1	1	4	16	2	-1	4	2	1	1	2	1	3	1	2	2	2	2	2	2	3	4	1	2	5	224.12	1	2	2
M10397X	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	656.45	0	5	5
M10400Z	1	1	2	1	1	3	1	2	1	1	4	2	1	1	2	1	2	2	2	2	2	1	3	4	1	2	1	356.04	0	3	3
M10401A	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	589.15	0	5	4
M10404D	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	711.19	0	5	5
M10405E	1	9	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	471.97	0	4	4
M10406F	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	515.61	0	4	4
M10407G	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	542.13	0	4	4
M10411C	1	7	2	1	1	1	1	1	1	1	1	1	5	1	6	1	2	2	2	2	2	2	7	8	1	2	1	453.29	0	4	4
M10418K	1	8	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	621.33	0	5	5
M10419L	1	1	4	1	4	5	1	2	4	2	1	1	0	1	1	2	2	2	2	2	2	2	3	4	1	4	1	158.05	1	1	1
M10421E	1	4	3	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	650.94	0	5	5
M10423G	1	3	4	1	4	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	4	1	318.54	0	3	3
M10426K	1	5	2	1	1	1	1	1	1	1	1	1	7	1	8	1	2	2	2	2	2	2	9	10	4	6	4	92.18	1	1	1
M10427L	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	776.06	0	5	5
M10428M	1	8	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	805.85	0	5	5
M10431G	1	4	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	610.66	0	5	5
M10432H	2	10	1	1	4	16	2	-1	4	2	1	1	0	1	1	2	2	2	2	2	1	2	2	3	1	1	6	287.42	0	2	2
M10434K	1	7	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	1	5	5	219.3	1	1	1
M10436M	4	12	4	1	4	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5	1	2	1	376.4	0	3	4
M10437N	1	3	2	1	1	2	1	1	1	1	4	2	2	1	3	1	1	2	2	2	2	2	4	5	1	1	3	341.99	0	3	3
M10448R	1	5	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	4	4	6	132.77	1	1	1
M10449S	1	2	1	1	4	15	2	-1	1	1	4	2	3	1	4	1	2	2	2	2	2	2	4	5	1	6	5	167.61	1	1	1
M10451L	1	2	1	1	4	15	2	-1	1	1	4	2	3	1	4	1	2	2	2	2	2	2	4	5	2	5	6	107.66	1	1	1
M10453N	1	9	2	1	1	2	1	2	1	1	4	2	2	1	3	1	1	2	2	2	2	2	4	5	1	2	1	450.15	0	4	4
M10456R	1	8	2	1	1	2	1	2	1	1	4	2	2	1	3	1	1	2	2	2	2	2	4	5	1	2	1	725.51	0	5	5
M10459U	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	6	1	361.97	0	3	3
M10461N	1	8	2	1	1	1	1	2	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	4	3	288.67	0	2	2
