MCSID	FACTRY00	FAREGN00	FDRSPO00	FDMINT00	FDPINT00	FDHTYP00	FDHTYS00	FDRELP00	FDNATM00	FDMINH00	FDNATF00	FDFINH00	FDOTHS00	FDNOCM00	FDTOTS00	FDNSIB00	FDHSIB00	FDSSIB00	FDASIB00	FDFSIB00	FDGPAR00	FDOTHA00	FDNUMH00	FDTOTP00	FDHLAN00	FDROOW00	FDCWRK00	FOEDE000	FOEDP000	FOECDUK0	FOECDSC0
M20902X	2	10	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	2	5	377.25	0	3	3
M20909E	1	2	1	1	4	15	2	-1	1	1	4	2	5	1	6	1	2	2	2	2	2	2	6	7	1	6	6	166.2	1	1	1
M20910X	2	10	1	1	4	21	2	-1	4	2	4	2	0	1	1	2	2	2	2	2	2	1	1	2	2	4	6	151.85	1	1	1
M20911Y	1	5	4	1	4	2	1	2	1	1	4	2	1	1	2	1	2	2	2	2	2	2	3	4	1	5	3	176.71	1	1	1
M20913A	4	12	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	2	2	1	541.38	0	4	5
M20914B	1	4	1	1	4	16	2	-1	4	2	1	1	1	1	2	1	2	2	2	2	2	1	7	8	1	2	5	311.88	0	3	3
M20918F	2	10	1	1	4	15	2	-1	1	1	4	2	3	1	4	1	2	2	2	2	2	2	4	5	1	-1	5	201.74	1	1	1
M20921A	1	3	2	1	1	1	1	1	1	1	1	1	5	1	6	1	2	2	2	2	2	2	7	8	2	1	3	214.51	1	1	1
M20923C	4	12	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	4	3	203.31	1	1	1
M20926F	1	2	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	2	5	386.46	0	3	3
M20927G	2	10	2	1	1	2	1	2	1	1	4	2	3	1	4	1	1	2	2	2	2	2	5	6	1	6	1	360.99	0	3	3
M20929J	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	1	1	463.49	0	4	4
M20931C	1	4	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	1	2	1	544.02	0	4	4
M20936H	1	2	2	1	1	1	1	1	1	1	1	1	2	1	3	2	2	2	2	1	2	2	4	5	1	2	1	445.17	0	4	4
M20938K	1	3	2	1	1	2	1	2	1	1	4	2	2	1	3	2	1	2	2	2	2	2	4	5	1	2	1	399.21	0	3	3
M20939L	2	10	1	1	4	15	2	-1	1	1	4	2	0	1	1	2	2	2	2	2	2	2	1	2	1	2	5	374.52	0	3	3
M20940D	1	2	2	1	1	2	1	1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	4	5	1	6	1	328.73	0	3	3
M20942F	1	4	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	1	5	342.2	0	3	3
M20944H	2	10	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	6	5	290.99	0	2	2
M20949N	1	5	1	1	4	15	2	-1	1	1	4	2	2	1	3	1	2	2	2	2	2	2	3	4	1	4	5	300.27	0	2	2
M20952H	2	10	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	4	5	300.97	0	2	2
M20953J	1	3	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	467.21	0	4	5
M20956M	1	9	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	470.92	0	4	4
M20957N	1	7	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	565.24	0	5	5
M20959Q	1	8	2	1	1	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	5	6	4	2	3	198.14	1	1	1
M20960H	1	7	2	1	1	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	4	1	362.78	0	3	3
M20962K	1	5	3	1	2	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	1	2	3	4	2	2	4	240.4	1	2	2
M20964M	1	1	2	1	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	2	1	340.67	0	3	3
M20965N	1	7	4	1	4	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5	1	5	1	185.91	1	1	1
M20970K	1	6	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	5	5	254.9	1	2	2
M20972M	3	11	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	4	1	353.9	0	3	3
M20973N	1	6	1	1	4	15	2	-1	1	1	4	2	1	1	2	1	2	2	2	2	2	2	2	3	1	4	6	197.43	1	1	1
M20974P	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	528.72	0	4	4
M20975Q	3	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4	1	2	1	672.11	0	5	5
