MCSID	GDHTYP00	GDHTYS00	GDRELP00	GDNATM00	GDMINH00	GDNATF00	GDFINH00	GDOTHS00	GDNOCM00	GDTOTS00	GDNSIB00	GDHSIB00	GDSSIB00	GDASIB00	GDFSIB00	GDGPAR00	GDOTHA00	GDNUMH00	GDTOTP00
M13319V	15	2	-1	1	1	-1	-1	1	1	2	2	2	1	2	2	2	2	3	4
M13321P	2	1	1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13322Q	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13324S	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13325T	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13331R	-1	-1	-1	-1	-1	-1	-1	0	1	1	2	2	2	2	2	2	2	1	2
M13336W	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13340S	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13343V	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13344W	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13349B	1	1	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	4	6
M13350U	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13353X	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13364A	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13365B	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	4	5
M13367D	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13369F	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13379H	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13380A	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	7	8
M13384E	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13386G	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13388J	2	1	1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13389K	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13391D	11	1	1	-1	-1	-1	-1	0	1	1	2	2	2	2	2	1	2	3	4
M13393F	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13395H	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13398L	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13400M	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13403Q	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13404R	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13408V	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	7	8
M13414T	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13416V	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13417W	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13419Y	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13422T	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13425W	-1	-1	-1	-1	-1	-1	-1	0	0	0	2	2	2	2	2	2	2	0	0
M13426X	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13428Z	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	4	5
M13429A	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	4	5
M13431U	11	1	1	-1	-1	-1	-1	0	1	1	2	2	2	2	2	1	1	5	6
M13432V	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13436Z	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	4	5
M13437A	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13438B	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13440V	15	2	-1	1	1	-1	-1	1	1	2	2	1	2	2	2	2	2	3	4
M13441W	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13443Y	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	1	5	6
M13444Z	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13446B	15	2	-1	1	1	-1	-1	2	1	3	2	1	1	2	2	2	2	4	5
M13447C	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13450X	-1	-1	-1	-1	-1	-1	-1	0	1	1	2	2	2	2	2	2	2	1	2
M13451Y	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13452Z	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13454B	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13456D	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13458F	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13463C	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13466F	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13468H	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13474F	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	4	5
M13479L	2	1	1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13480D	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13484H	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13488M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13493J	2	1	2	1	1	-1	-1	2	1	3	1	1	2	2	2	2	2	5	6
M13494K	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	4	5
M13497N	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13498P	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13499Q	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13501R	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	7	8
M13502S	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13507X	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13508Y	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13513V	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13516Y	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	4	5
M13520U	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	4	5
M13525Z	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13527B	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13528C	1	1	1	1	1	1	1	2	1	3	1	1	2	2	2	2	2	5	6
M13530W	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13533Z	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	7	8
M13538E	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13539F	-1	-1	-1	-1	-1	-1	-1	1	1	2	1	2	2	2	2	2	2	2	3
M13540Y	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13542A	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13544C	15	2	-1	2	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13547F	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	1	2	2	2	4	5
M13548G	16	2	-1	-1	-1	1	1	2	1	3	1	2	2	2	2	2	2	4	5
M13549H	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13550A	-1	-1	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	2	3
M13560C	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13561D	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13563F	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13569M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13570E	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13572G	15	2	-1	1	1	-1	-1	4	1	5	1	2	2	2	2	2	2	6	7
M13575K	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13576L	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13577M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13579P	15	2	-1	1	1	-1	-1	2	1	3	2	1	2	2	2	2	2	4	5
M13581H	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13583K	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13584L	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	1	2	6	7
M13587P	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13588Q	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13591K	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13592L	-1	-1	-1	-1	-1	-1	-1	0	0	0	2	2	2	2	2	2	2	0	0
M13594N	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13598S	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13600T	15	2	-1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	4	5
M13602V	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13603W	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13605Y	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13608B	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13611W	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13612X	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13614Z	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13615A	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13617C	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13620X	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	5	6
M13622Z	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13623A	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13627E	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13630Z	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13633C	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13635E	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13638H	2	1	2	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	4	5
M13641C	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13642D	15	2	-1	1	1	-1	-1	5	1	6	1	2	2	2	2	2	2	7	8
M13643E	2	1	2	1	1	-1	-1	2	1	3	1	1	2	2	2	2	2	5	6
M13644F	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13645G	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13649L	5	1	1	-1	-1	1	1	3	1	4	1	1	2	2	2	2	2	6	7
M13650D	15	2	-1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	4
M13651E	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13653G	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13654H	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13659N	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13660F	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13662H	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13664K	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13666M	15	2	-1	1	1	-1	-1	3	1	4	1	2	2	2	2	1	1	7	8
M13667N	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13668P	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13669Q	2	1	1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13671J	-1	-1	-1	-1	-1	-1	-1	0	1	1	2	2	2	2	2	2	2	1	2
M13673L	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13674M	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13675N	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13678R	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	4	5
M13679S	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13683N	2	1	2	1	1	-1	-1	1	1	2	2	2	2	1	2	2	2	4	5
M13684P	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13686R	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13693Q	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	5	6
M13696T	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13699W	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13701X	2	1	1	1	1	-1	-1	2	1	3	1	1	2	2	2	2	2	5	6
M13703Z	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13704A	2	1	1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	4	5
M13705B	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13708E	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13711Z	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	1	1	5	6
M13715D	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13719H	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13720A	2	1	2	1	1	-1	-1	2	1	3	2	1	2	2	2	2	2	5	6
M13721B	15	2	-1	1	1	-1	-1	2	1	3	1	1	2	2	2	2	2	4	5
M13732E	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	1	2	6	7
M13733F	15	2	-1	1	1	-1	-1	4	1	5	1	1	2	2	2	2	2	6	7
M13734G	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13735H	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13736J	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13737K	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13738L	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13739M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13740E	2	1	2	1	1	-1	-1	3	1	4	1	1	2	2	2	2	2	6	7
M13743H	15	2	-1	1	1	-1	-1	2	1	3	2	1	2	2	2	2	2	4	5
M13745K	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13746L	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13748N	16	2	-1	-1	-1	1	1	1	1	2	1	2	2	2	2	2	2	3	4
M13749P	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13751H	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	5	6
M13756N	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13757P	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13758Q	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	1	6	7
M13759R	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13764N	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13769T	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	4	5
M13770L	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13774Q	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13777T	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13781P	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13782Q	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13783R	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13785T	2	1	1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13787V	16	2	-1	-1	-1	1	1	1	1	2	1	2	2	2	2	2	2	3	4
M13794U	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13795V	-1	-1	-1	-1	-1	-1	-1	2	1	3	1	1	2	2	2	2	2	3	4
M13797X	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13798Y	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13801A	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13806F	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13808H	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13809J	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13810B	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13811C	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13812D	-1	-1	-1	-1	-1	-1	-1	2	1	3	1	2	2	2	2	2	2	3	4
M13815G	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13818K	15	2	-1	1	1	-1	-1	3	1	4	1	2	2	2	2	2	2	5	6
M13820D	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13821E	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13823G	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13825J	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13827L	15	2	-1	1	1	-1	-1	3	1	4	1	2	2	2	2	1	2	6	7
M13828M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13829N	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13837N	1	1	1	1	1	1	1	6	1	7	1	2	2	2	2	2	2	9	10
M13842K	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13844M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13846P	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13849S	15	2	-1	1	1	-1	-1	1	1	2	2	1	2	2	2	2	2	3	4
M13850K	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13853N	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13856R	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13862P	15	2	-1	1	1	-1	-1	1	2	3	1	2	2	2	2	2	2	4	6
M13866T	-1	-1	-1	-1	-1	1	1	0	1	1	2	2	2	2	2	2	2	1	2
M13867U	-1	-1	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	1	2
M13870P	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13875U	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13878X	20	2	-1	-1	-1	-1	-1	0	1	1	2	2	2	2	2	1	2	2	3
M13883U	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13885W	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13886X	16	2	-1	-1	-1	1	1	0	1	1	2	2	2	2	2	2	2	2	3
M13894X	-1	-1	-1	-1	-1	1	1	1	1	2	1	2	2	2	2	2	2	2	3
M13896Z	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13897A	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13899C	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13903F	15	2	-1	1	1	-1	-1	1	1	2	2	1	2	2	2	2	2	3	4
M13907K	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13908L	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13913H	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13916L	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13919P	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13920G	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13921H	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13925M	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13928Q	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13930J	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13931K	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13932L	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13933M	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13936Q	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13937R	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13941M	4	1	1	1	1	-1	-1	4	1	5	1	1	2	2	2	2	2	7	8
M13944Q	16	2	-1	-1	-1	1	1	1	1	2	2	2	1	2	2	2	2	3	4
M13945R	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13947T	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13950N	-1	-1	-1	-1	-1	-1	-1	0	0	0	2	2	2	2	2	2	2	0	0
M13951P	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13952Q	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13954S	16	2	-1	-1	-1	1	1	2	1	3	1	2	2	2	2	2	2	4	5
M13956U	5	1	2	-1	-1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13960Q	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13962S	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13963T	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	4	5
M13964U	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13965V	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13967X	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13969Z	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M13971T	2	1	1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	4	5
M13973V	2	1	2	1	1	-1	-1	1	1	2	2	1	2	2	2	2	2	4	5
M13974W	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M13975X	-1	-1	-1	-1	-1	-1	-1	0	0	0	2	2	2	2	2	2	2	0	0
M13976Y	16	2	-1	-1	-1	1	1	1	1	2	1	2	2	2	2	2	2	3	4
M13978A	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M13982W	1	1	1	1	1	1	1	4	1	5	1	2	2	2	2	2	2	7	8
M13983X	5	1	1	-1	-1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13985Z	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13987B	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M13988C	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
M13989D	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M13990W	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	4	5
M13993Z	15	2	-1	1	1	-1	-1	3	1	4	2	1	2	2	2	2	2	5	6
M13995B	-1	-1	-1	-1	-1	-1	-1	0	0	0	2	2	2	2	2	2	2	0	0
M13996C	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	3	4
M13999F	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M14002F	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14004H	15	2	-1	1	1	-1	-1	2	1	3	1	2	2	2	2	2	2	4	5
M14006K	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14009N	1	1	2	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M14010F	1	1	1	1	1	1	1	6	1	7	1	2	2	2	2	2	2	9	10
M14012H	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	5	6
M14014K	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	2	3	4
M14020H	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M14021J	-1	-1	-1	-1	-1	-1	-1	0	0	0	2	2	2	2	2	2	2	0	0
M14025N	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M14026P	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14027Q	2	1	1	1	1	-1	-1	2	1	3	2	2	1	2	2	2	2	5	6
M14028R	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14029S	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M14030K	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14031L	1	1	1	1	1	1	1	2	1	3	1	2	2	2	2	2	2	5	6
M14032M	1	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14033N	15	2	-1	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	3	4
M14034P	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14035Q	2	1	2	1	1	-1	-1	1	1	2	1	2	2	2	2	2	2	4	5
M14037S	1	1	1	1	1	1	1	3	1	4	1	2	2	2	2	2	2	6	7
M14042P	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	4	5
M14043Q	16	2	-1	-1	-1	1	1	1	1	2	1	2	2	2	2	2	2	3	4
M14047U	15	2	-1	1	1	-1	-1	0	1	1	2	2	2	2	2	2	2	2	3
