MCSID	GCNUM00	GCCHIC100	GCNAEX00	GCNAEG1	GCNAEG2	GCNAEG3	GCNAAS0A	GCNAAS0B	GCNAAS0C	GCNAAS0D	GCNAAS0E	GCNAAS0F	GCNAAS0G	GCNAAS0H	GCNAAS0I	GCNAAS0J
M10210V	1	1	5	2	1	4	5	1	3	4	1	5	6	4	2	6
M10211W	1	1	5	2	1	4	5	2	3	4	1	6	6	6	6	6
M10213Y	1	1	5	2	1	5	4	1	4	2	3	5	2	1	4	3
M10215A	1	1	5	2	1	6	5	3	3	4	1	6	6	6	6	6
M10217C	1	1	5	2	1	4	6	1	3	6	1	6	6	6	6	6
M10220X	1	1	5	2	1	4	5	1	3	5	1	4	2	3	4	1
M10223A	1	1	5	2	1	4	5	3	5	1	3	5	2	5	1	5
M10224B	1	1	5	2	1	4	5	1	3	4	1	5	4	6	6	6
M10225C	2	1	5	2	1	4	4	6	6	1	3	4	5	4	5	5
M10226D	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	3
M10234D	1	1	5	2	1	4	5	1	3	4	5	5	4	4	2	5
M10239J	1	1	5	2	1	4	4	2	4	4	2	6	6	6	6	6
M10244F	1	1	5	2	1	4	5	6	3	4	1	5	6	6	6	6
M10247J	1	1	5	2	1	4	6	1	3	4	1	6	6	6	6	6
M10249L	1	1	5	2	1	4	5	1	3	3	1	5	4	4	2	5
M10250D	1	1	5	2	1	4	5	1	3	4	1	5	4	2	5	5
M10252F	1	1	5	2	1	4	5	1	4	4	3	4	2	3	5	4
M10254H	1	1	5	2	1	4	5	3	3	4	1	5	4	4	2	1
M10258M	1	1	5	2	1	2	5	2	2	5	1	5	4	6	6	6
M10262H	1	1	5	2	1	4	5	5	4	5	3	2	3	1	5	2
M10263J	1	1	5	2	1	4	5	1	3	4	2	5	4	4	3	4
M10264K	1	1	5	2	1	4	5	1	3	5	3	5	4	4	3	2
M10266M	1	1	5	2	1	4	5	1	3	4	1	5	6	6	6	6
M10273L	1	1	5	2	1	4	5	1	3	4	1	6	6	6	6	6
M10278R	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10279S	1	1	5	2	1	4	5	1	3	4	1	5	4	6	4	3
M10285Q	1	1	5	2	1	4	5	6	3	4	1	6	6	6	6	6
M10289U	1	1	5	2	1	4	5	1	3	4	1	5	4	4	3	2
M10296T	1	1	5	2	1	4	5	2	4	1	4	4	2	4	4	5
M10298V	1	1	5	2	1	4	5	1	3	5	1	2	5	3	2	3
M10300W	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	4
M10313B	1	1	5	2	1	4	5	1	3	6	6	3	5	4	5	6
M10315D	1	1	5	2	1	4	3	2	3	2	2	3	2	3	4	3
M10319H	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	6
M10320A	1	1	5	2	1	4	5	1	3	4	1	5	4	4	5	3
M10322C	1	1	5	2	1	4	5	1	3	2	2	4	3	5	2	1
M10324E	1	1	5	2	1	4	5	3	3	3	1	5	4	4	2	2
M10328J	1	1	5	2	1	4	5	1	3	2	4	5	4	4	3	5
M10330C	1	1	5	2	1	4	5	1	3	4	1	2	5	3	5	1
M10331D	1	1	5	1	1	4	5	1	3	2	2	5	4	6	6	2
M10335H	1	1	5	2	1	3	5	6	3	6	6	6	6	6	6	6
M10342G	1	1	5	2	1	4	5	5	3	4	2	4	4	4	4	6
M10347M	1	1	4	2	1	4	5	1	3	6	1	5	4	6	6	6
M10348N	1	1	5	2	3	6	5	1	3	4	4	4	4	3	4	2
M10349P	1	1	5	2	1	4	5	1	3	4	1	3	3	4	3	3
M10350G	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10351H	1	1	5	2	1	4	5	1	3	4	1	5	2	4	2	6
M10356N	1	1	5	2	1	3	1	1	3	1	1	3	4	3	1	3
M10357P	1	1	5	2	1	4	4	2	5	6	1	2	6	3	5	3
M10359R	1	1	5	2	1	4	5	1	4	4	1	6	6	6	6	6
M10363M	1	1	5	2	1	4	1	1	3	4	1	6	6	6	6	6
M10364N	1	1	5	2	1	3	5	1	2	6	6	6	6	6	6	6
M10366Q	1	1	5	2	1	4	5	1	3	4	1	5	6	4	6	6
M10367R	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10372N	1	1	5	2	1	4	5	1	6	6	6	6	6	6	6	6
M10374Q	1	1	5	2	1	4	5	1	3	4	1	5	4	4	6	6
M10379V	1	1	5	2	1	4	5	1	3	3	1	5	4	4	3	3
M10381P	1	1	5	2	5	4	1	2	3	2	3	2	3	5	2	2
M10385T	1	1	5	2	1	4	5	1	3	5	3	5	4	5	3	2
M10387V	1	1	5	2	1	4	5	1	3	4	1	1	4	1	5	2
M10390Q	1	1	5	2	1	4	5	1	3	3	1	2	4	6	3	1
M10392S	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	6
M10393T	1	1	5	2	1	4	5	2	3	2	3	1	5	1	4	3
M10394U	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	1
M10395V	1	1	5	2	1	4	6	6	3	6	1	5	6	6	6	5
M10396W	1	1	5	2	1	4	5	1	3	4	1	6	6	6	6	6
M10397X	1	1	5	2	1	5	5	4	5	3	4	1	2	5	3	4
M10400Z	1	1	5	2	1	4	5	1	3	4	4	6	4	6	6	1
M10401A	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	6
M10404D	1	1	5	2	1	4	4	6	1	6	6	6	6	6	6	6
M10406F	1	1	5	2	3	4	5	1	3	4	1	5	4	3	4	4
M10407G	1	1	5	2	1	4	5	1	3	4	2	6	6	6	6	6
M10411C	1	1	5	2	1	4	5	1	3	4	2	3	1	2	4	2
M10418K	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10421E	1	1	5	2	1	4	5	1	3	4	2	4	3	4	2	3
M10423G	1	1	5	2	1	4	4	6	3	6	6	6	6	6	6	2
M10426K	1	1	5	2	1	4	3	2	3	2	5	4	5	2	3	5
M10427L	1	1	5	2	1	4	5	1	5	4	1	5	4	4	6	6
M10428M	1	1	5	2	1	4	5	1	3	4	1	5	4	3	2	3
M10431G	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	3
M10434K	1	1	5	2	1	4	5	4	5	4	4	4	5	6	4	3
M10437N	1	1	6	6	6	6	5	1	5	4	1	2	3	4	4	2
M10448R	1	1	5	2	1	4	4	1	3	4	3	4	4	4	3	4
M10449S	1	1	5	2	1	3	5	6	4	4	6	6	6	6	6	2
M10451L	1	1	5	2	1	4	1	1	4	4	1	5	4	3	2	4
M10453N	1	1	5	2	1	4	5	1	3	4	6	6	6	6	6	6
M10455Q	1	1	5	2	5	5	5	2	4	3	5	5	4	5	2	2
M10459U	1	1	5	2	1	4	5	1	3	4	1	5	4	6	6	6
M10461N	1	1	5	2	1	1	2	3	3	1	4	5	4	5	3	3
M10462P	1	1	5	2	1	4	5	6	3	4	6	6	6	6	6	6
M10465S	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10466T	1	1	5	2	1	3	3	1	3	4	1	5	3	2	3	6
M10471Q	1	1	5	2	1	4	5	4	3	4	1	5	4	4	4	5
M10472R	1	1	5	2	1	4	5	1	3	4	1	6	4	4	6	6
M10473S	1	1	5	2	1	4	5	1	3	4	1	5	4	3	5	2
M10481S	1	1	5	2	1	4	5	1	3	4	1	5	4	4	3	5
M10485W	1	1	5	2	1	6	5	5	5	3	4	4	5	2	6	6
M10490T	1	1	5	4	5	5	3	4	1	3	4	2	5	3	5	1
M10492V	1	1	5	2	1	4	5	1	5	4	1	4	4	3	2	3
M10494X	1	1	5	2	1	4	5	6	6	6	6	6	6	6	6	6
M10495Y	1	1	5	2	1	4	5	5	4	2	4	4	5	1	3	4
M10499C	1	1	5	2	1	4	5	6	3	4	6	6	6	6	6	6
M10503F	1	1	5	2	1	4	5	3	5	4	6	6	4	6	2	6
M10506J	1	1	5	6	1	4	5	3	2	1	4	4	4	4	2	5
M10514J	1	1	5	2	1	4	3	4	4	2	4	2	4	2	1	2
M10515K	1	1	5	2	2	2	5	1	5	1	4	2	5	2	2	1
M10516L	1	1	5	2	1	4	5	1	3	4	1	3	6	6	6	6
M10517M	1	1	5	1	2	6	3	2	4	5	3	3	6	6	6	6
M10519P	1	1	5	2	1	4	5	1	3	4	1	2	4	4	3	2
M10524L	1	1	5	2	1	4	5	1	3	4	1	5	1	4	2	3
M10529R	1	1	5	2	1	4	5	3	3	5	4	4	4	5	2	4
M10536Q	1	1	5	2	1	4	5	1	3	4	1	5	6	4	2	5
M10537R	1	1	5	2	1	4	5	5	4	3	3	2	3	3	3	5
M10538S	1	1	5	2	1	4	5	1	3	4	3	4	4	4	2	5
M10541M	1	1	5	2	1	4	5	1	3	4	1	5	4	3	2	5
M10548U	1	1	5	2	1	4	5	1	3	4	1	5	4	4	2	5
M10550N	1	1	5	2	1	4	5	1	3	4	1	5	3	4	5	2
M10551P	1	1	5	2	1	3	3	4	3	4	2	5	4	3	4	2
M10554S	1	1	5	2	1	4	5	1	3	6	6	1	6	6	6	6
M10557V	1	1	5	2	1	4	5	1	3	4	6	5	6	6	5	6
M10558W	1	1	5	2	1	4	5	1	3	4	1	6	6	4	6	6
M10560Q	1	1	5	2	1	4	5	1	3	4	1	5	4	4	6	6
M10567X	1	1	5	2	1	4	5	4	5	4	3	2	6	6	4	3
M10570S	1	1	5	2	2	4	5	1	3	4	1	5	4	4	2	5
M10571T	1	1	5	2	1	4	5	1	3	4	6	5	6	4	6	6
